,title,mean,count
154,Benny & Joon (1993),3.4607843137254903,102.0
155,Bent (1997),2.6666666666666665,6.0
156,Best Men (1997),3.4,5.0
157,Best of the Best 3: No Turning Back (1995),1.5,6.0
158,Better Off Dead... (1985),3.569620253164557,79.0
159,"Beverly Hillbillies, The (1993)",2.25,20.0
160,Beverly Hills Cop III (1994),2.392857142857143,28.0
161,Beverly Hills Ninja (1997),2.3125,48.0
162,"Bewegte Mann, Der (1994)",3.6666666666666665,3.0
163,Beyond Bedlam (1993),1.0,2.0
164,Beyond Rangoon (1995),3.0555555555555554,18.0
165,Bhaji on the Beach (1993),2.875,8.0
166,"Big Bang Theory, The (1994)",4.0,1.0
167,"Big Blue, The (Grand bleu, Le) (1988)",3.235294117647059,17.0
168,Big Bully (1996),1.8571428571428572,14.0
169,"Big Green, The (1995)",2.5,14.0
170,"Big Lebowski, The (1998)",3.8333333333333335,42.0
171,Big Night (1996),3.9005847953216373,171.0
172,"Big One, The (1997)",3.0,1.0
173,"Big Sleep, The (1946)",4.027397260273973,73.0
174,"Big Squeeze, The (1996)",2.25,4.0
175,Billy Madison (1995),3.081081081081081,37.0
176,Bio-Dome (1996),1.903225806451613,31.0
177,Bird of Prey (1996),1.0,1.0
178,"Birdcage, The (1996)",3.4436860068259385,293.0
179,"Birds, The (1963)",3.808641975308642,162.0
180,Bitter Moon (1992),3.3,10.0
181,Bitter Sugar (Azucar Amargo) (1996),4.333333333333333,3.0
182,Black Beauty (1994),3.4444444444444446,27.0
183,Black Sheep (1996),2.6363636363636362,55.0
184,Blade Runner (1982),4.138181818181818,275.0
185,Blink (1994),3.0,19.0
186,Bliss (1997),2.5714285714285716,7.0
187,"Blob, The (1958)",2.717391304347826,46.0
188,Blood & Wine (1997),2.8636363636363638,22.0
189,Blood Beach (1981),2.1666666666666665,6.0
190,Blood For Dracula (Andy Warhol's Dracula) (1974),2.4,5.0
191,Bloodsport 2 (1995),1.7,10.0
192,"Bloody Child, The (1996)",1.0,1.0
193,Blown Away (1994),2.7586206896551726,29.0
194,"Blue Angel, The (Blaue Engel, Der) (1930)",3.7777777777777777,18.0
195,Blue Chips (1994),2.6666666666666665,9.0
196,Blue Sky (1994),3.4166666666666665,12.0
197,Blue in the Face (1995),3.1777777777777776,45.0
198,Blues Brothers 2000 (1998),2.8214285714285716,28.0
199,"Blues Brothers, The (1980)",3.8366533864541834,251.0
200,Bob Roberts (1992),3.7411764705882353,85.0
201,Body Parts (1991),1.6153846153846154,13.0
202,"Body Snatcher, The (1945)",3.5,22.0
203,Body Snatchers (1993),2.971014492753623,69.0
204,Bogus (1996),2.5454545454545454,22.0
205,"Bonheur, Le (1965)",2.0,4.0
206,Bonnie and Clyde (1967),3.819672131147541,122.0
207,Boogie Nights (1997),3.5873015873015874,189.0
208,Boomerang (1992),2.8125,32.0
209,"Boot, Das (1981)",4.203980099502488,201.0
210,Booty Call (1997),2.1666666666666665,48.0
211,Bottle Rocket (1996),3.4545454545454546,44.0
212,Bound (1996),3.8217054263565893,129.0
213,Boxing Helena (1993),2.2,15.0
214,Boy's Life 2 (1997),3.3333333333333335,6.0
215,Boys (1996),3.3333333333333335,6.0
216,Boys Life (1995),3.2,5.0
217,Boys in Venice (1996),1.0,2.0
218,"Boys of St. Vincent, The (1993)",3.3846153846153846,13.0
219,Boys on the Side (1995),3.1470588235294117,34.0
220,"Boys, Les (1997)",3.3333333333333335,3.0
221,"Brady Bunch Movie, The (1995)",2.8026315789473686,76.0
222,Braindead (1992),3.857142857142857,14.0
223,Bram Stoker's Dracula (1992),3.158333333333333,120.0
224,Brassed Off (1996),3.9375,32.0
225,Braveheart (1995),4.151515151515151,297.0
226,Brazil (1985),3.8173076923076925,208.0
227,Bread and Chocolate (Pane e cioccolata) (1973),3.1666666666666665,12.0
228,Breakdown (1997),3.4025974025974026,77.0
229,Breakfast at Tiffany's (1961),3.7263157894736842,95.0
230,Breaking the Waves (1996),3.72972972972973,74.0
231,Bride of Frankenstein (1935),3.608695652173913,46.0
232,"Bridge on the River Kwai, The (1957)",4.175757575757576,165.0
233,"Bridges of Madison County, The (1995)",3.1641791044776117,67.0
234,Bringing Up Baby (1938),3.838235294117647,68.0
235,Broken Arrow (1996),3.031496062992126,254.0
236,Broken English (1996),2.25,8.0
237,"Bronx Tale, A (1993)",3.7916666666666665,48.0
238,Brother Minister: The Assassination of Malcolm X (1994),3.0,5.0
239,"Brother's Kiss, A (1997)",2.0,1.0
240,"Brothers McMullen, The (1995)",3.452054794520548,73.0
241,Brothers in Trouble (1995),4.0,1.0
242,"Browning Version, The (1994)",3.0,10.0
243,Buddy (1997),2.25,4.0
244,Bulletproof (1996),3.204081632653061,49.0
245,Bullets Over Broadway (1994),3.7209302325581395,86.0
246,Burnt By the Sun (1994),3.7083333333333335,24.0
247,Burnt Offerings (1976),2.4444444444444446,9.0
248,Bushwhacked (1995),1.5714285714285714,7.0
249,Butch Cassidy and the Sundance Kid (1969),3.949074074074074,216.0
250,"Butcher Boy, The (1998)",4.0,2.0
251,Butterfly Kiss (1995),1.0,1.0
252,"Bye Bye, Love (1995)",3.1333333333333333,15.0
253,C'est arrivé près de chez vous (1992),3.0,4.0
254,Cabin Boy (1994),2.5625,16.0
255,"Cable Guy, The (1996)",2.339622641509434,106.0
256,Calendar Girl (1993),2.0,3.0
257,Canadian Bacon (1994),2.413793103448276,29.0
258,"Candidate, The (1972)",3.641025641025641,39.0
259,Candyman (1992),2.723076923076923,65.0
260,Candyman: Farewell to the Flesh (1995),2.4285714285714284,21.0
261,Cape Fear (1962),3.5232558139534884,86.0
262,Cape Fear (1991),3.456140350877193,171.0
263,Captives (1994),2.3333333333333335,3.0
264,Career Girls (1997),3.2564102564102564,39.0
265,Careful (1992),1.0,1.0
266,Carlito's Way (1993),3.4074074074074074,54.0
267,Carmen Miranda: Bananas Is My Business (1994),1.5,2.0
268,Caro Diario (Dear Diary) (1994),2.75,4.0
269,Carpool (1996),2.8,5.0
270,Carrie (1976),3.5041322314049586,121.0
271,Carried Away (1996),3.0,11.0
272,Carrington (1995),3.230769230769231,13.0
273,Casablanca (1942),4.45679012345679,243.0
274,Casino (1995),3.6483516483516483,91.0
275,Casper (1995),3.076923076923077,52.0
276,Castle Freak (1995),1.25,4.0
277,Cat People (1982),2.8958333333333335,48.0
278,Cat on a Hot Tin Roof (1958),3.9516129032258065,62.0
279,Cats Don't Dance (1997),2.84375,32.0
280,Catwalk (1995),1.3333333333333333,3.0
281,Caught (1996),3.25,8.0
282,Celestial Clockwork (1994),4.0,2.0
283,"Celluloid Closet, The (1995)",3.892857142857143,56.0
284,Celtic Pride (1996),2.2,15.0
285,"Cement Garden, The (1993)",3.6,10.0
286,Cemetery Man (Dellamorte Dellamore) (1994),2.869565217391304,23.0
287,Century (1993),3.0,1.0
288,Chain Reaction (1996),2.7,80.0
289,Chairman of the Board (1998),2.2222222222222223,9.0
290,"Chamber, The (1996)",3.0930232558139537,43.0
291,Charade (1963),3.925,40.0
292,Chasers (1994),2.2,5.0
293,Chasing Amy (1997),3.8390501319261214,379.0
294,Children of the Corn: The Gathering (1996),1.3157894736842106,19.0
295,Children of the Revolution (1996),3.2,5.0
296,Chinatown (1974),4.136054421768708,147.0
297,"Christmas Carol, A (1938)",4.057971014492754,69.0
298,Chungking Express (1994),3.5714285714285716,28.0
299,"Ciao, Professore! (1993)",2.75,4.0
300,Cinderella (1950),3.5813953488372094,129.0
301,Cinema Paradiso (1988),4.1735537190082646,121.0
302,Circle of Friends (1995),3.486842105263158,76.0
303,Citizen Kane (1941),4.292929292929293,198.0
304,Citizen Ruth (1996),3.6222222222222222,45.0
305,City Hall (1996),3.1392405063291138,79.0
306,City Slickers II: The Legend of Curly's Gold (1994),2.5454545454545454,44.0
307,City of Angels (1998),3.0,8.0
308,City of Industry (1997),2.5,6.0
309,"City of Lost Children, The (1995)",3.7916666666666665,96.0
310,Clean Slate (1994),2.8,10.0
311,Clean Slate (Coup de Torchon) (1981),2.75,4.0
312,Clear and Present Danger (1994),3.569832402234637,179.0
313,Clerks (1994),3.804054054054054,148.0
314,"Client, The (1994)",3.381443298969072,97.0
315,Cliffhanger (1993),3.021505376344086,93.0
316,Clockers (1995),3.0,33.0
317,"Clockwork Orange, A (1971)",3.909502262443439,221.0
318,"Close Shave, A (1995)",4.491071428571429,112.0
319,Clueless (1995),3.458823529411765,170.0
320,Cobb (1994),2.8,15.0
321,Cold Comfort Farm (1995),3.824,125.0
322,Coldblooded (1995),2.0,1.0
323,"Collectionneuse, La (1967)",2.0,2.0
324,"Colonel Chabert, Le (1994)",3.5,4.0
325,Color of Night (1994),2.7333333333333334,15.0
326,Commandments (1997),2.6666666666666665,3.0
327,Con Air (1997),3.45985401459854,137.0
328,Conan the Barbarian (1981),3.046728971962617,107.0
329,Condition Red (1995),2.0,2.0
330,Coneheads (1993),2.2195121951219514,41.0
331,Congo (1995),2.4523809523809526,42.0
332,Conspiracy Theory (1997),3.4237288135593222,295.0
333,Contact (1997),3.8035363457760316,509.0
334,"Contempt (Mépris, Le) (1963)",3.0,9.0
335,"Convent, The (Convento, O) (1995)",2.5,2.0
336,"Cook the Thief His Wife & Her Lover, The (1989)",3.024390243902439,82.0
337,Cool Hand Luke (1967),3.9939024390243905,164.0
338,Cool Runnings (1993),3.161764705882353,68.0
339,Cop Land (1997),3.3771428571428572,175.0
340,Cops and Robbersons (1994),2.3076923076923075,13.0
341,Copycat (1995),3.302325581395349,86.0
342,"Corrina, Corrina (1994)",3.1538461538461537,39.0
343,Cosi (1996),4.0,4.0
344,Country Life (1994),1.5,2.0
345,Courage Under Fire (1996),3.6108597285067874,221.0
346,"Cowboy Way, The (1994)",2.210526315789474,19.0
347,"Craft, The (1996)",3.1153846153846154,104.0
348,Crash (1996),2.546875,128.0
349,Crimson Tide (1995),3.6298701298701297,154.0
350,Critical Care (1997),3.090909090909091,11.0
351,Cronos (1992),3.2,10.0
352,Crooklyn (1994),3.5,10.0
353,Crossfire (1947),4.25,4.0
354,"Crossing Guard, The (1995)",3.0,28.0
355,"Crow, The (1994)",3.417910447761194,134.0
356,"Crow: City of Angels, The (1996)",1.9487179487179487,39.0
357,Crows and Sparrows (1949),1.5,2.0
358,"Crucible, The (1996)",3.3376623376623376,77.0
359,"Crude Oasis, The (1995)",1.0,1.0
360,Crumb (1994),3.7901234567901234,81.0
361,"Cry, the Beloved Country (1995)",3.75,24.0
362,"Crying Game, The (1992)",3.6218487394957983,119.0
363,Curdled (1996),2.75,8.0
364,"Cure, The (1995)",3.3333333333333335,6.0
365,Cutthroat Island (1995),2.4444444444444446,18.0
366,Cyclo (1995),3.0,1.0
367,Cyrano de Bergerac (1990),3.8181818181818183,66.0
368,"Cérémonie, La (1995)",4.0,3.0
369,D3: The Mighty Ducks (1996),2.5789473684210527,19.0
370,Dadetown (1995),3.0,1.0
371,Daens (1992),1.0,1.0
372,"Damsel in Distress, A (1937)",4.0,1.0
373,Dances with Wolves (1990),3.79296875,256.0
374,Dangerous Beauty (1998),3.769230769230769,13.0
375,Dangerous Ground (1997),1.75,8.0
376,Dangerous Minds (1995),3.3404255319148937,47.0
377,Daniel Defoe's Robinson Crusoe (1996),3.0,2.0
378,Dante's Peak (1997),2.933333333333333,240.0
379,Dark City (1998),3.5,16.0
380,Dave (1993),3.65,180.0
381,"Davy Crockett, King of the Wild Frontier (1955)",2.909090909090909,11.0
382,"Day the Earth Stood Still, The (1951)",3.9381443298969074,97.0
383,"Day the Sun Turned Cold, The (Tianguo niezi) (1994)",2.0,2.0
384,Daylight (1996),2.7719298245614037,57.0
385,Days of Thunder (1990),2.7169811320754715,53.0
386,"Daytrippers, The (1996)",3.6666666666666665,15.0
387,Dazed and Confused (1993),3.46875,64.0
388,Dead Man (1995),3.823529411764706,34.0
389,Dead Man Walking (1995),3.8963210702341136,299.0
390,Dead Poets Society (1989),3.9163346613545817,251.0
391,Dead Presidents (1995),2.7222222222222223,18.0
392,Dear God (1996),2.5,12.0
393,Death and the Maiden (1994),3.4285714285714284,28.0
394,Death in Brunswick (1991),4.0,1.0
395,"Death in the Garden (Mort en ce jardin, La) (1956)",1.0,1.0
396,Deceiver (1997),2.8275862068965516,29.0
397,Deconstructing Harry (1997),3.4,65.0
398,Deep Rising (1998),2.4285714285714284,14.0
399,"Deer Hunter, The (1978)",3.8333333333333335,120.0
400,Delicatessen (1991),3.876923076923077,65.0
401,Delta of Venus (1994),3.0,2.0
402,Demolition Man (1993),3.152173913043478,92.0
403,Denise Calls Up (1995),3.0,7.0
404,Desert Winds (1995),4.0,1.0
405,"Designated Mourner, The (1997)",1.8571428571428572,7.0
406,Desperado (1995),3.4536082474226806,97.0
407,Desperate Measures (1998),3.3194444444444446,72.0
408,Destiny Turns on the Radio (1995),3.0,2.0
409,Devil in a Blue Dress (1995),3.3859649122807016,57.0
410,"Devil's Advocate, The (1997)",3.515957446808511,188.0
411,"Devil's Own, The (1997)",3.1083333333333334,240.0
412,Diabolique (1996),2.887323943661972,71.0
413,Dial M for Murder (1954),4.0,68.0
414,Die Hard (1988),3.8724279835390947,243.0
415,Die Hard 2 (1990),3.355421686746988,166.0
416,Die Hard: With a Vengeance (1995),3.2847682119205297,151.0
417,"Die xue shuang xiong (Killer, The) (1989)",3.967741935483871,31.0
418,Dingo (1992),2.4,5.0
419,Dirty Dancing (1987),3.1020408163265305,98.0
420,Disclosure (1994),3.0,40.0
421,Diva (1981),3.727272727272727,66.0
422,Dolores Claiborne (1994),3.3417721518987342,79.0
423,Don Juan DeMarco (1995),3.5526315789473686,76.0
424,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),2.7714285714285714,35.0
425,Donnie Brasco (1997),3.802721088435374,147.0
426,"Doom Generation, The (1995)",2.7142857142857144,7.0
427,"Doors, The (1991)",2.9782608695652173,46.0
428,Double Happiness (1994),3.4285714285714284,7.0
429,Double Team (1997),2.230769230769231,13.0
430,"Double vie de Véronique, La (Double Life of Veronique, The) (1991)",3.6818181818181817,22.0
431,Down Periscope (1996),2.702970297029703,101.0
432,Down by Law (1986),3.7714285714285714,35.0
433,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),4.252577319587629,194.0
434,Dracula: Dead and Loving It (1995),2.28,25.0
435,Dragonheart (1996),3.0822784810126582,158.0
436,Dream Man (1995),1.5,2.0
437,Dream With the Fishes (1997),3.142857142857143,7.0
438,Drop Dead Fred (1991),2.75,24.0
439,Drop Zone (1994),2.5483870967741935,31.0
440,Drunks (1995),2.8,5.0
441,Duck Soup (1933),4.0,93.0
442,Dumb & Dumber (1994),3.0,69.0
443,Dumbo (1941),3.4959349593495936,123.0
444,Dunston Checks In (1996),1.8571428571428572,7.0
445,Duoluo tianshi (1995),3.1666666666666665,6.0
446,E.T. the Extra-Terrestrial (1982),3.8333333333333335,300.0
447,East of Eden (1955),3.864406779661017,59.0
448,Eat Drink Man Woman (1994),4.05,80.0
449,Ed (1996),1.3333333333333333,6.0
450,Ed Wood (1994),3.601503759398496,133.0
451,Ed's Next Move (1996),2.6666666666666665,3.0
452,Eddie (1996),2.7,40.0
453,"Edge, The (1997)",3.5398230088495577,113.0
454,"Eighth Day, The (1996)",3.0,1.0
455,Emma (1996),3.7175141242937855,177.0
456,"Empire Strikes Back, The (1980)",4.206521739130435,368.0
457,Enchanted April (1991),3.9285714285714284,70.0
458,"Endless Summer 2, The (1994)",2.5,10.0
459,"Enfer, L' (1994)",3.0,4.0
460,"English Patient, The (1996)",3.656964656964657,481.0
461,"Englishman Who Went Up a Hill, But Came Down a Mountain, The (1995)",3.375,32.0
462,Entertaining Angels: The Dorothy Day Story (1996),5.0,1.0
463,Eraser (1996),3.150485436893204,206.0
464,Escape from L.A. (1996),2.4615384615384617,91.0
465,Escape from New York (1981),3.241758241758242,91.0
466,Escape to Witch Mountain (1975),2.966666666666667,30.0
467,Etz Hadomim Tafus (Under the Domin Tree) (1994),2.0,1.0
468,Eve's Bayou (1997),3.609375,64.0
469,Even Cowgirls Get the Blues (1993),2.0,5.0
470,"Evening Star, The (1996)",2.9310344827586206,29.0
471,Event Horizon (1997),2.574803149606299,127.0
472,Everest (1998),4.5,2.0
473,Every Other Weekend (1990),1.0,1.0
474,Everyone Says I Love You (1996),3.2738095238095237,168.0
475,Evil Dead II (1987),3.5168539325842696,89.0
476,Evita (1996),2.9806949806949805,259.0
477,Excess Baggage (1997),2.5384615384615383,52.0
478,Executive Decision (1996),3.356687898089172,157.0
479,Exit to Eden (1994),2.75,16.0
480,Exotica (1994),3.5555555555555554,27.0
481,Extreme Measures (1996),3.171875,64.0
482,Eye for an Eye (1996),3.03125,32.0
483,"Eye of Vichy, The (Oeil de Vichy, L') (1993)",1.0,1.0
484,Face/Off (1997),3.768041237113402,194.0
485,Faces (1968),3.0,4.0
486,Fair Game (1995),2.1818181818181817,11.0
487,FairyTale: A True Story (1997),2.966666666666667,30.0
488,Faithful (1996),3.3,10.0
489,Fall (1997),2.0,3.0
490,Fallen (1998),3.1463414634146343,41.0
491,Falling in Love Again (1980),1.0,2.0
492,"Family Thing, A (1996)",3.5555555555555554,45.0
493,"Fan, The (1996)",3.09375,64.0
494,Fantasia (1940),3.7701149425287355,174.0
495,Far From Home: The Adventures of Yellow Dog (1995),3.2857142857142856,7.0
496,Farewell My Concubine (1993),3.9782608695652173,46.0
497,"Farewell to Arms, A (1932)",3.8333333333333335,12.0
498,Fargo (1996),4.155511811023622,508.0
499,Farinelli: il castrato (1994),3.1176470588235294,17.0
500,Farmer & Chase (1995),4.0,1.0
501,"Fast, Cheap & Out of Control (1997)",3.4375,32.0
502,Faster Pussycat! Kill! Kill! (1965),3.0,7.0
503,Fatal Instinct (1993),2.6315789473684212,19.0
504,Father of the Bride (1950),3.5833333333333335,60.0
505,Father of the Bride Part II (1995),2.8984375,128.0
506,Fathers' Day (1997),2.5806451612903225,31.0
507,Faust (1994),4.2,5.0
508,Fausto (1993),3.0,3.0
509,"Favor, The (1994)",2.0,1.0
510,Fear (1996),3.159090909090909,44.0
511,Fear of a Black Hat (1993),3.2,10.0
512,"Fear, The (1995)",3.0,1.0
513,Fearless (1993),3.24,25.0
514,Feast of July (1995),2.4,5.0
515,Feeling Minnesota (1996),2.625,32.0
516,Female Perversions (1996),2.625,8.0
517,Field of Dreams (1989),3.69811320754717,212.0
518,Fierce Creatures (1997),3.1145833333333335,96.0
519,"Fifth Element, The (1997)",3.4771573604060912,197.0
520,"Fille seule, La (A Single Girl) (1995)",4.0,4.0
521,Fire Down Below (1997),2.9318181818181817,44.0
522,Fire on the Mountain (1996),3.0,1.0
523,Firestorm (1998),2.8333333333333335,18.0
524,"Firm, The (1993)",3.2781456953642385,151.0
525,First Kid (1996),2.925,40.0
526,First Knight (1995),3.0232558139534884,86.0
527,"First Wives Club, The (1996)",3.01875,160.0
528,"Fish Called Wanda, A (1988)",3.785425101214575,247.0
529,Fled (1996),2.6470588235294117,34.0
530,Flesh and Bone (1993),2.8333333333333335,6.0
531,"Flintstones, The (1994)",2.064516129032258,31.0
532,Flipper (1996),2.45,20.0
533,Flirt (1995),3.6,5.0
534,Flirting With Disaster (1996),3.6904761904761907,42.0
535,"Flower of My Secret, The (Flor de mi secreto, La) (1995)",3.1666666666666665,6.0
536,Flubber (1997),2.7547169811320753,53.0
537,Fluke (1995),2.4285714285714284,14.0
538,Fly Away Home (1996),3.6,180.0
539,"Fog, The (1980)",2.739130434782609,23.0
540,Fools Rush In (1997),3.0,24.0
541,For Ever Mozart (1996),2.0,3.0
542,For Love or Money (1993),2.8333333333333335,12.0
543,For Richer or Poorer (1997),2.4285714285714284,14.0
544,For Whom the Bell Tolls (1943),4.0,20.0
545,For the Moment (1994),2.6666666666666665,3.0
546,"Forbidden Christ, The (Cristo proibito, Il) (1950)",2.75,4.0
547,Forbidden Planet (1956),3.8358208955223883,67.0
548,Foreign Correspondent (1940),3.8666666666666667,15.0
549,Foreign Student (1994),2.0,2.0
550,Forget Paris (1995),3.193548387096774,62.0
551,Forrest Gump (1994),3.853582554517134,321.0
