,'Til There Was You (1997),9.0
211,Bound (1996),129.0
212,Boxing Helena (1993),15.0
213,Boy's Life 2 (1997),6.0
214,Boys (1996),6.0
215,Boys Life (1995),5.0
216,Boys in Venice (1996),2.0
217,"Boys of St. Vincent, The (1993)",13.0
218,Boys on the Side (1995),34.0
219,"Boys, Les (1997)",3.0
220,"Brady Bunch Movie, The (1995)",76.0
221,Braindead (1992),14.0
222,Bram Stoker's Dracula (1992),120.0
223,Brassed Off (1996),32.0
224,Braveheart (1995),297.0
225,Brazil (1985),208.0
226,Bread and Chocolate (Pane e cioccolata) (1973),12.0
227,Breakdown (1997),77.0
228,Breakfast at Tiffany's (1961),95.0
229,Breaking the Waves (1996),74.0
230,Bride of Frankenstein (1935),46.0
231,"Bridge on the River Kwai, The (1957)",165.0
232,"Bridges of Madison County, The (1995)",67.0
233,Bringing Up Baby (1938),68.0
234,Broken Arrow (1996),254.0
235,Broken English (1996),8.0
236,"Bronx Tale, A (1993)",48.0
237,Brother Minister: The Assassination of Malcolm X (1994),5.0
238,"Brother's Kiss, A (1997)",1.0
239,"Brothers McMullen, The (1995)",73.0
240,Brothers in Trouble (1995),1.0
241,"Browning Version, The (1994)",10.0
242,Buddy (1997),4.0
243,Bulletproof (1996),49.0
244,Bullets Over Broadway (1994),86.0
245,Burnt By the Sun (1994),24.0
246,Burnt Offerings (1976),9.0
247,Bushwhacked (1995),7.0
248,Butch Cassidy and the Sundance Kid (1969),216.0
249,"Butcher Boy, The (1998)",2.0
250,Butterfly Kiss (1995),1.0
251,"Bye Bye, Love (1995)",15.0
252,C'est arrivé près de chez vous (1992),4.0
253,Cabin Boy (1994),16.0
254,"Cable Guy, The (1996)",106.0
255,Calendar Girl (1993),3.0
256,Canadian Bacon (1994),29.0
257,"Candidate, The (1972)",39.0
258,Candyman (1992),65.0
259,Candyman: Farewell to the Flesh (1995),21.0
260,Cape Fear (1962),86.0
261,Cape Fear (1991),171.0
262,Captives (1994),3.0
263,Career Girls (1997),39.0
264,Careful (1992),1.0
265,Carlito's Way (1993),54.0
266,Carmen Miranda: Bananas Is My Business (1994),2.0
267,Caro Diario (Dear Diary) (1994),4.0
268,Carpool (1996),5.0
269,Carrie (1976),121.0
270,Carried Away (1996),11.0
271,Carrington (1995),13.0
272,Casablanca (1942),243.0
273,Casino (1995),91.0
274,Casper (1995),52.0
275,Castle Freak (1995),4.0
276,Cat People (1982),48.0
277,Cat on a Hot Tin Roof (1958),62.0
278,Cats Don't Dance (1997),32.0
279,Catwalk (1995),3.0
280,Caught (1996),8.0
281,Celestial Clockwork (1994),2.0
282,"Celluloid Closet, The (1995)",56.0
283,Celtic Pride (1996),15.0
284,"Cement Garden, The (1993)",10.0
285,Cemetery Man (Dellamorte Dellamore) (1994),23.0
286,Century (1993),1.0
287,Chain Reaction (1996),80.0
288,Chairman of the Board (1998),9.0
289,"Chamber, The (1996)",43.0
290,Charade (1963),40.0
291,Chasers (1994),5.0
292,Chasing Amy (1997),379.0
293,Children of the Corn: The Gathering (1996),19.0
294,Children of the Revolution (1996),5.0
295,Chinatown (1974),147.0
296,"Christmas Carol, A (1938)",69.0
297,Chungking Express (1994),28.0
298,"Ciao, Professore! (1993)",4.0
299,Cinderella (1950),129.0
300,Cinema Paradiso (1988),121.0
301,Circle of Friends (1995),76.0
302,Citizen Kane (1941),198.0
303,Citizen Ruth (1996),45.0
304,City Hall (1996),79.0
305,City Slickers II: The Legend of Curly's Gold (1994),44.0
306,City of Angels (1998),8.0
307,City of Industry (1997),6.0
308,"City of Lost Children, The (1995)",96.0
309,Clean Slate (1994),10.0
310,Clean Slate (Coup de Torchon) (1981),4.0
311,Clear and Present Danger (1994),179.0
312,Clerks (1994),148.0
313,"Client, The (1994)",97.0
314,Cliffhanger (1993),93.0
315,Clockers (1995),33.0
316,"Clockwork Orange, A (1971)",221.0
317,"Close Shave, A (1995)",112.0
318,Clueless (1995),170.0
319,Cobb (1994),15.0
320,Cold Comfort Farm (1995),125.0
321,Coldblooded (1995),1.0
322,"Collectionneuse, La (1967)",2.0
323,"Colonel Chabert, Le (1994)",4.0
324,Color of Night (1994),15.0
325,Commandments (1997),3.0
326,Con Air (1997),137.0
327,Conan the Barbarian (1981),107.0
328,Condition Red (1995),2.0
329,Coneheads (1993),41.0
330,Congo (1995),42.0
331,Conspiracy Theory (1997),295.0
332,Contact (1997),509.0
333,"Contempt (Mépris, Le) (1963)",9.0
334,"Convent, The (Convento, O) (1995)",2.0
335,"Cook the Thief His Wife & Her Lover, The (1989)",82.0
336,Cool Hand Luke (1967),164.0
337,Cool Runnings (1993),68.0
338,Cop Land (1997),175.0
339,Cops and Robbersons (1994),13.0
340,Copycat (1995),86.0
341,"Corrina, Corrina (1994)",39.0
342,Cosi (1996),4.0
343,Country Life (1994),2.0
344,Courage Under Fire (1996),221.0
345,"Cowboy Way, The (1994)",19.0
346,"Craft, The (1996)",104.0
347,Crash (1996),128.0
348,Crimson Tide (1995),154.0
349,Critical Care (1997),11.0
350,Cronos (1992),10.0
351,Crooklyn (1994),10.0
352,Crossfire (1947),4.0
353,"Crossing Guard, The (1995)",28.0
354,"Crow, The (1994)",134.0
355,"Crow: City of Angels, The (1996)",39.0
356,Crows and Sparrows (1949),2.0
357,"Crucible, The (1996)",77.0
358,"Crude Oasis, The (1995)",1.0
359,Crumb (1994),81.0
360,"Cry, the Beloved Country (1995)",24.0
361,"Crying Game, The (1992)",119.0
362,Curdled (1996),8.0
363,"Cure, The (1995)",6.0
364,Cutthroat Island (1995),18.0
365,Cyclo (1995),1.0
366,Cyrano de Bergerac (1990),66.0
367,"Cérémonie, La (1995)",3.0
368,D3: The Mighty Ducks (1996),19.0
369,Dadetown (1995),1.0
370,Daens (1992),1.0
371,"Damsel in Distress, A (1937)",1.0
372,Dances with Wolves (1990),256.0
373,Dangerous Beauty (1998),13.0
374,Dangerous Ground (1997),8.0
375,Dangerous Minds (1995),47.0
376,Daniel Defoe's Robinson Crusoe (1996),2.0
377,Dante's Peak (1997),240.0
378,Dark City (1998),16.0
379,Dave (1993),180.0
380,"Davy Crockett, King of the Wild Frontier (1955)",11.0
381,"Day the Earth Stood Still, The (1951)",97.0
382,"Day the Sun Turned Cold, The (Tianguo niezi) (1994)",2.0
383,Daylight (1996),57.0
384,Days of Thunder (1990),53.0
385,"Daytrippers, The (1996)",15.0
386,Dazed and Confused (1993),64.0
387,Dead Man (1995),34.0
388,Dead Man Walking (1995),299.0
389,Dead Poets Society (1989),251.0
390,Dead Presidents (1995),18.0
391,Dear God (1996),12.0
392,Death and the Maiden (1994),28.0
393,Death in Brunswick (1991),1.0
394,"Death in the Garden (Mort en ce jardin, La) (1956)",1.0
395,Deceiver (1997),29.0
396,Deconstructing Harry (1997),65.0
397,Deep Rising (1998),14.0
398,"Deer Hunter, The (1978)",120.0
399,Delicatessen (1991),65.0
400,Delta of Venus (1994),2.0
401,Demolition Man (1993),92.0
402,Denise Calls Up (1995),7.0
403,Desert Winds (1995),1.0
404,"Designated Mourner, The (1997)",7.0
405,Desperado (1995),97.0
406,Desperate Measures (1998),72.0
407,Destiny Turns on the Radio (1995),2.0
408,Devil in a Blue Dress (1995),57.0
409,"Devil's Advocate, The (1997)",188.0
410,"Devil's Own, The (1997)",240.0
411,Diabolique (1996),71.0
412,Dial M for Murder (1954),68.0
413,Die Hard (1988),243.0
414,Die Hard 2 (1990),166.0
415,Die Hard: With a Vengeance (1995),151.0
416,"Die xue shuang xiong (Killer, The) (1989)",31.0
417,Dingo (1992),5.0
418,Dirty Dancing (1987),98.0
419,Disclosure (1994),40.0
420,Diva (1981),66.0
421,Dolores Claiborne (1994),79.0
422,Don Juan DeMarco (1995),76.0
423,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),35.0
424,Donnie Brasco (1997),147.0
425,"Doom Generation, The (1995)",7.0
426,"Doors, The (1991)",46.0
427,Double Happiness (1994),7.0
428,Double Team (1997),13.0
429,"Double vie de Véronique, La (Double Life of Veronique, The) (1991)",22.0
430,Down Periscope (1996),101.0
431,Down by Law (1986),35.0
432,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),194.0
433,Dracula: Dead and Loving It (1995),25.0
434,Dragonheart (1996),158.0
435,Dream Man (1995),2.0
436,Dream With the Fishes (1997),7.0
437,Drop Dead Fred (1991),24.0
438,Drop Zone (1994),31.0
439,Drunks (1995),5.0
440,Duck Soup (1933),93.0
441,Dumb & Dumber (1994),69.0
442,Dumbo (1941),123.0
443,Dunston Checks In (1996),7.0
444,Duoluo tianshi (1995),6.0
445,E.T. the Extra-Terrestrial (1982),300.0
446,East of Eden (1955),59.0
447,Eat Drink Man Woman (1994),80.0
448,Ed (1996),6.0
449,Ed Wood (1994),133.0
450,Ed's Next Move (1996),3.0
451,Eddie (1996),40.0
452,"Edge, The (1997)",113.0
453,"Eighth Day, The (1996)",1.0
454,Emma (1996),177.0
455,"Empire Strikes Back, The (1980)",368.0
456,Enchanted April (1991),70.0
457,"Endless Summer 2, The (1994)",10.0
458,"Enfer, L' (1994)",4.0
459,"English Patient, The (1996)",481.0
460,"Englishman Who Went Up a Hill, But Came Down a Mountain, The (1995)",32.0
461,Entertaining Angels: The Dorothy Day Story (1996),1.0
462,Eraser (1996),206.0
463,Escape from L.A. (1996),91.0
464,Escape from New York (1981),91.0
465,Escape to Witch Mountain (1975),30.0
466,Etz Hadomim Tafus (Under the Domin Tree) (1994),1.0
467,Eve's Bayou (1997),64.0
468,Even Cowgirls Get the Blues (1993),5.0
469,"Evening Star, The (1996)",29.0
470,Event Horizon (1997),127.0
471,Everest (1998),2.0
472,Every Other Weekend (1990),1.0
473,Everyone Says I Love You (1996),168.0
474,Evil Dead II (1987),89.0
475,Evita (1996),259.0
476,Excess Baggage (1997),52.0
477,Executive Decision (1996),157.0
478,Exit to Eden (1994),16.0
479,Exotica (1994),27.0
480,Extreme Measures (1996),64.0
481,Eye for an Eye (1996),32.0
482,"Eye of Vichy, The (Oeil de Vichy, L') (1993)",1.0
483,Face/Off (1997),194.0
484,Faces (1968),4.0
485,Fair Game (1995),11.0
486,FairyTale: A True Story (1997),30.0
487,Faithful (1996),10.0
488,Fall (1997),3.0
489,Fallen (1998),41.0
490,Falling in Love Again (1980),2.0
491,"Family Thing, A (1996)",45.0
492,"Fan, The (1996)",64.0
493,Fantasia (1940),174.0
494,Far From Home: The Adventures of Yellow Dog (1995),7.0
495,Farewell My Concubine (1993),46.0
496,"Farewell to Arms, A (1932)",12.0
497,Fargo (1996),508.0
498,Farinelli: il castrato (1994),17.0
499,Farmer & Chase (1995),1.0
500,"Fast, Cheap & Out of Control (1997)",32.0
501,Faster Pussycat! Kill! Kill! (1965),7.0
502,Fatal Instinct (1993),19.0
503,Father of the Bride (1950),60.0
504,Father of the Bride Part II (1995),128.0
505,Fathers' Day (1997),31.0
506,Faust (1994),5.0
507,Fausto (1993),3.0
508,"Favor, The (1994)",1.0
509,Fear (1996),44.0
510,Fear of a Black Hat (1993),10.0
511,"Fear, The (1995)",1.0
512,Fearless (1993),25.0
513,Feast of July (1995),5.0
514,Feeling Minnesota (1996),32.0
515,Female Perversions (1996),8.0
516,Field of Dreams (1989),212.0
517,Fierce Creatures (1997),96.0
518,"Fifth Element, The (1997)",197.0
519,"Fille seule, La (A Single Girl) (1995)",4.0
520,Fire Down Below (1997),44.0
521,Fire on the Mountain (1996),1.0
522,Firestorm (1998),18.0
523,"Firm, The (1993)",151.0
524,First Kid (1996),40.0
525,First Knight (1995),86.0
526,"First Wives Club, The (1996)",160.0
527,"Fish Called Wanda, A (1988)",247.0
528,Fled (1996),34.0
529,Flesh and Bone (1993),6.0
530,"Flintstones, The (1994)",31.0
531,Flipper (1996),20.0
532,Flirt (1995),5.0
533,Flirting With Disaster (1996),42.0
534,"Flower of My Secret, The (Flor de mi secreto, La) (1995)",6.0
535,Flubber (1997),53.0
536,Fluke (1995),14.0
537,Fly Away Home (1996),180.0
538,"Fog, The (1980)",23.0
539,Fools Rush In (1997),24.0
540,For Ever Mozart (1996),3.0
541,For Love or Money (1993),12.0
542,For Richer or Poorer (1997),14.0
543,For Whom the Bell Tolls (1943),20.0
544,For the Moment (1994),3.0
545,"Forbidden Christ, The (Cristo proibito, Il) (1950)",4.0
546,Forbidden Planet (1956),67.0
547,Foreign Correspondent (1940),15.0
548,Foreign Student (1994),2.0
549,Forget Paris (1995),62.0
550,Forrest Gump (1994),321.0
551,Four Days in September (1997),12.0
552,Four Rooms (1995),90.0
553,Four Weddings and a Funeral (1994),251.0
554,"Fox and the Hound, The (1981)",61.0
555,Foxfire (1996),15.0
556,Frankie Starlight (1995),4.0
557,Free Willy (1993),33.0
558,Free Willy 2: The Adventure Home (1995),11.0
559,Free Willy 3: The Rescue (1997),27.0
560,Freeway (1996),42.0
561,French Kiss (1995),84.0
562,French Twist (Gazon maudit) (1995),39.0
563,Fresh (1994),10.0
564,Friday (1995),26.0
565,Fried Green Tomatoes (1991),153.0
566,"Frighteners, The (1996)",115.0
567,Frisk (1995),3.0
568,From Dusk Till Dawn (1996),92.0
569,"Fugitive, The (1993)",336.0
570,Full Metal Jacket (1987),170.0
571,"Full Monty, The (1997)",315.0
572,Full Speed (1996),8.0
573,"Funeral, The (1996)",21.0
574,Funny Face (1957),21.0
575,"Further Gesture, A (1996)",1.0
576,G.I. Jane (1997),175.0
577,Gabbeh (1996),6.0
578,"Game, The (1997)",251.0
579,Gandhi (1982),195.0
580,Gang Related (1997),16.0
581,"Garden of Finzi-Contini, The (Giardino dei Finzi-Contini, Il) (1970)",24.0
582,Gaslight (1944),35.0
583,"Gate of Heavenly Peace, The (1995)",1.0
584,Gattaca (1997),136.0
585,"Gay Divorcee, The (1934)",15.0
586,George of the Jungle (1997),162.0
587,Georgia (1995),30.0
588,Germinal (1993),4.0
589,Geronimo: An American Legend (1993),9.0
590,Get Shorty (1995),209.0
591,Get on the Bus (1996),38.0
592,"Getaway, The (1994)",18.0
593,Getting Away With Murder (1996),1.0
594,Getting Even with Dad (1994),5.0
595,Ghost (1990),170.0
596,"Ghost and Mrs. Muir, The (1947)",43.0
597,"Ghost and the Darkness, The (1996)",128.0
598,Ghost in the Shell (Kokaku kidotai) (1995),26.0
599,Ghosts of Mississippi (1996),29.0
600,Giant (1956),51.0
601,Gigi (1958),41.0
602,Gilligan's Island: The Movie (1998),3.0
603,Girl 6 (1996),25.0
604,Girl in the Cadillac (1995),1.0
605,Girls Town (1996),1.0
606,"Glass Shield, The (1994)",2.0
607,Glengarry Glen Ross (1992),69.0
608,"Glimmer Man, The (1996)",48.0
609,Glory (1989),171.0
610,Go Fish (1994),15.0
611,"Godfather, The (1972)",413.0
612,"Godfather: Part II, The (1974)",209.0
613,Gold Diggers: The Secret of Bear Mountain (1995),10.0
614,Golden Earrings (1947),2.0
615,GoldenEye (1995),131.0
616,Gone Fishin' (1997),11.0
617,Gone with the Wind (1939),172.0
618,"Good Man in Africa, A (1994)",2.0
619,Good Morning (1971),1.0
620,Good Will Hunting (1997),198.0
621,"Good, The Bad and The Ugly, The (1966)",137.0
622,GoodFellas (1990),226.0
623,"Goofy Movie, A (1995)",20.0
624,Gordy (1995),3.0
625,Grace of My Heart (1996),8.0
626,"Graduate, The (1967)",239.0
627,"Grand Day Out, A (1992)",66.0
628,"Grass Harp, The (1995)",9.0
629,Grateful Dead (1995),4.0
630,Grease (1978),170.0
631,Grease 2 (1982),24.0
632,"Great Day in Harlem, A (1994)",1.0
633,"Great Dictator, The (1940)",46.0
634,"Great Escape, The (1963)",124.0
635,Great Expectations (1998),27.0
636,"Great Race, The (1965)",31.0
637,"Great White Hype, The (1996)",49.0
638,Gridlock'd (1997),19.0
639,"Grifters, The (1990)",89.0
640,Grosse Fatigue (1994),4.0
641,Grosse Pointe Blank (1997),160.0
642,Groundhog Day (1993),280.0
643,Grumpier Old Men (1995),148.0
644,Guantanamera (1994),4.0
645,Guilty as Sin (1993),6.0
646,Gumby: The Movie (1995),5.0
647,Hackers (1995),33.0
648,Half Baked (1998),20.0
649,Halloween: The Curse of Michael Myers (1995),25.0
650,Hamlet (1996),90.0
651,Hana-bi (1997),1.0
652,Happy Gilmore (1996),149.0
653,Hard Eight (1996),15.0
654,Hard Rain (1998),31.0
655,Hard Target (1993),40.0
656,Harlem (1993),4.0
657,Harold and Maude (1971),121.0
658,Harriet the Spy (1996),40.0
659,"Hate (Haine, La) (1995)",18.0
660,"Haunted World of Edward D. Wood Jr., The (1995)",15.0
661,He Walked by Night (1948),1.0
662,Head Above Water (1996),4.0
663,Hear My Song (1991),8.0
664,Hearts and Minds (1996),5.0
665,Heat (1995),223.0
666,Heathers (1989),171.0
667,Heaven & Earth (1993),9.0
668,Heaven's Prisoners (1996),27.0
669,Heavenly Creatures (1994),70.0
670,Heavy (1995),5.0
671,Heavy Metal (1981),73.0
672,Heavyweights (1994),13.0
673,Hedd Wyn (1992),1.0
674,Heidi Fleiss: Hollywood Madam (1995) ,13.0
675,Hellraiser: Bloodline (1996),18.0
676,Henry V (1989),124.0
677,Herbie Rides Again (1974),11.0
678,Hercules (1997),66.0
679,Here Comes Cookie (1935),1.0
680,Hideaway (1995),9.0
681,High Noon (1952),88.0
682,High School High (1996),29.0
683,Higher Learning (1995),30.0
684,Highlander (1986),153.0
685,Highlander III: The Sorcerer (1994),16.0
686,His Girl Friday (1940),56.0
687,Hollow Reed (1996),6.0
688,Homage (1995),1.0
689,Home Alone (1990),137.0
690,Home Alone 3 (1997),19.0
691,Home for the Holidays (1995),58.0
692,Homeward Bound II: Lost in San Francisco (1996),32.0
693,Homeward Bound: The Incredible Journey (1993),61.0
694,Hoodlum (1997),73.0
695,Hoop Dreams (1994),117.0
696,"Horse Whisperer, The (1998)",7.0
697,"Horseman on the Roof, The (Hussard sur le toit, Le) (1995)",9.0
698,Hostile Intentions (1994),1.0
699,Hot Shots! Part Deux (1993),68.0
700,Hotel de Love (1996),4.0
701,"Hour of the Pig, The (1993)",14.0
702,House Arrest (1996),25.0
703,House Party 3 (1994),9.0
704,"House of Yes, The (1997)",18.0
705,"House of the Spirits, The (1993)",24.0
706,Houseguest (1994),24.0
707,How to Be a Player (1997),21.0
708,How to Make an American Quilt (1995),71.0
709,"Howling, The (1981)",38.0
710,"Hudsucker Proxy, The (1994)",110.0
711,Hugo Pool (1997),7.0
712,"Hunchback of Notre Dame, The (1996)",127.0
713,"Hungarian Fairy Tale, A (1987)",1.0
714,"Hunt for Red October, The (1990)",227.0
715,"Hunted, The (1995)",3.0
716,Hurricane Streets (1998),9.0
717,Hush (1998),1.0
718,I Can't Sleep (J'ai pas sommeil) (1994),3.0
719,I Don't Want to Talk About It (De eso no se habla) (1993),1.0
720,I Know What You Did Last Summer (1997),100.0
721,I Like It Like That (1994),3.0
722,I Love Trouble (1994),10.0
723,I Shot Andy Warhol (1996),37.0
724,I'll Do Anything (1994),10.0
725,I'm Not Rappaport (1996),17.0
726,"I, Worst of All (Yo, la peor de todas) (1990)",1.0
727,I.Q. (1994),81.0
728,"Ice Storm, The (1997)",108.0
729,If Lucy Fell (1996),29.0
730,Ill Gotten Gains (1997),3.0
731,Immortal Beloved (1994),63.0
732,In & Out (1997),230.0
733,In Love and War (1996),28.0
734,In the Army Now (1994),18.0
735,In the Bleak Midwinter (1995),16.0
736,In the Company of Men (1997),66.0
737,In the Line of Duty 2 (1987),4.0
738,In the Line of Fire (1993),169.0
739,In the Mouth of Madness (1995),26.0
740,In the Name of the Father (1993),102.0
741,In the Realm of the Senses (Ai no corrida) (1976),9.0
742,Incognito (1997),10.0
743,Independence Day (ID4) (1996),429.0
744,Indian Summer (1996),20.0
745,"Indian in the Cupboard, The (1995)",39.0
746,Indiana Jones and the Last Crusade (1989),331.0
747,Infinity (1996),6.0
748,"Inkwell, The (1994)",3.0
749,"Innocent Sleep, The (1995)",2.0
750,"Innocents, The (1961)",4.0
751,"Inspector General, The (1949)",18.0
752,Interview with the Vampire (1994),137.0
753,Intimate Relations (1996),2.0
754,Inventing the Abbotts (1997),23.0
755,"Invitation, The (Zaproszenie) (1986)",1.0
