,a,b,c,d
24,"Adventures of Robin Hood, The (1938)",3.7910447761194033,"Adventures of Robin Hood, The (1938)",67.0
25,"Affair to Remember, An (1957)",4.1923076923076925,"Affair to Remember, An (1957)",26.0
26,"African Queen, The (1951)",4.1842105263157885,"African Queen, The (1951)",152.0
27,Afterglow (1997),3.111111111111111,Afterglow (1997),18.0
28,"Age of Innocence, The (1993)",3.3846153846153846,"Age of Innocence, The (1993)",65.0
29,Aiqing wansui (1994),5.0,Aiqing wansui (1994),1.0
30,Air Bud (1997),2.5581395348837206,Air Bud (1997),43.0
31,Air Force One (1997),3.6310904872389793,Air Force One (1997),431.0
32,"Air Up There, The (1994)",2.8125,"Air Up There, The (1994)",16.0
33,Airheads (1994),2.34375,Airheads (1994),32.0
34,Akira (1988),3.38,Akira (1988),50.0
35,Aladdin (1992),3.8127853881278537,Aladdin (1992),219.0
36,Aladdin and the King of Thieves (1996),2.8461538461538463,Aladdin and the King of Thieves (1996),26.0
37,Alaska (1996),2.6923076923076925,Alaska (1996),13.0
38,Albino Alligator (1996),2.5,Albino Alligator (1996),6.0
39,Alice in Wonderland (1951),3.6666666666666665,Alice in Wonderland (1951),81.0
40,Alien (1979),4.034364261168385,Alien (1979),291.0
41,Alien 3 (1992),2.83,Alien 3 (1992),100.0
42,Alien: Resurrection (1997),3.0967741935483866,Alien: Resurrection (1997),124.0
43,Aliens (1986),3.9471830985915495,Aliens (1986),284.0
44,All About Eve (1950),4.045454545454546,All About Eve (1950),66.0
45,All Dogs Go to Heaven 2 (1996),1.8666666666666667,All Dogs Go to Heaven 2 (1996),15.0
46,All Over Me (1997),3.0,All Over Me (1997),3.0
47,All Things Fair (1996),3.0,All Things Fair (1996),1.0
48,Alphaville (1965),3.333333333333333,Alphaville (1965),12.0
49,Amadeus (1984),4.163043478260869,Amadeus (1984),276.0
50,Amateur (1994),3.1666666666666665,Amateur (1994),18.0
51,"Amazing Panda Adventure, The (1995)",2.8,"Amazing Panda Adventure, The (1995)",10.0
52,American Buffalo (1996),2.636363636363636,American Buffalo (1996),11.0
53,American Dream (1990),2.5,American Dream (1990),2.0
54,"American President, The (1995)",3.6280487804878048,"American President, The (1995)",164.0
55,American Strays (1996),2.0,American Strays (1996),2.0
56,"American Werewolf in London, An (1981)",3.5353535353535355,"American Werewolf in London, An (1981)",99.0
57,"American in Paris, An (1951)",3.7,"American in Paris, An (1951)",50.0
58,Amistad (1997),3.85483870967742,Amistad (1997),124.0
59,Amityville 1992: It's About Time (1992),1.0,Amityville 1992: It's About Time (1992),5.0
60,Amityville 3-D (1983),1.1666666666666667,Amityville 3-D (1983),6.0
61,"Amityville Curse, The (1990)",1.25,"Amityville Curse, The (1990)",4.0
62,"Amityville Horror, The (1979)",2.5660377358490565,"Amityville Horror, The (1979)",53.0
63,Amityville II: The Possession (1982),1.6428571428571428,Amityville II: The Possession (1982),14.0
64,Amityville: A New Generation (1993),1.0,Amityville: A New Generation (1993),5.0
65,Amityville: Dollhouse (1996),1.0,Amityville: Dollhouse (1996),3.0
66,Amos & Andrew (1993),2.6842105263157894,Amos & Andrew (1993),19.0
67,An Unforgettable Summer (1994),2.5,An Unforgettable Summer (1994),4.0
68,Anaconda (1997),2.2894736842105257,Anaconda (1997),38.0
69,Anastasia (1997),3.4242424242424243,Anastasia (1997),66.0
70,Andre (1994),3.111111111111111,Andre (1994),18.0
71,Angel Baby (1995),3.75,Angel Baby (1995),4.0
72,Angel and the Badman (1947),3.0,Angel and the Badman (1947),6.0
73,Angel on My Shoulder (1946),2.0,Angel on My Shoulder (1946),1.0
74,Angela (1995),3.0,Angela (1995),1.0
75,Angels and Insects (1995),3.4166666666666665,Angels and Insects (1995),72.0
76,Angels in the Outfield (1994),2.9230769230769234,Angels in the Outfield (1994),39.0
77,Angus (1995),2.642857142857143,Angus (1995),14.0
78,Anna (1996),4.5,Anna (1996),2.0
79,Anna Karenina (1997),3.0909090909090913,Anna Karenina (1997),33.0
80,Anne Frank Remembered (1995),3.8571428571428568,Anne Frank Remembered (1995),21.0
81,Annie Hall (1977),3.911111111111111,Annie Hall (1977),180.0
82,Another Stakeout (1993),2.5,Another Stakeout (1993),28.0
83,Antonia's Line (1995),3.9565217391304346,Antonia's Line (1995),69.0
84,Aparajito (1956),3.571428571428572,Aparajito (1956),7.0
85,"Apartment, The (1960)",3.936507936507936,"Apartment, The (1960)",63.0
86,Apocalypse Now (1979),4.04524886877828,Apocalypse Now (1979),221.0
87,Apollo 13 (1995),3.931159420289855,Apollo 13 (1995),276.0
88,"Apostle, The (1997)",3.654545454545455,"Apostle, The (1997)",55.0
89,"Apple Dumpling Gang, The (1975)",2.84,"Apple Dumpling Gang, The (1975)",25.0
90,April Fool's Day (1986),2.6666666666666665,April Fool's Day (1986),15.0
91,Apt Pupil (1998),4.1,Apt Pupil (1998),160.0
92,"Aristocats, The (1970)",3.1296296296296298,"Aristocats, The (1970)",54.0
93,Army of Darkness (1993),3.431034482758621,Army of Darkness (1993),116.0
94,Around the World in 80 Days (1956),3.6610169491525424,Around the World in 80 Days (1956),59.0
95,"Arrival, The (1996)",3.036144578313253,"Arrival, The (1996)",83.0
96,Arsenic and Old Lace (1944),4.0782608695652165,Arsenic and Old Lace (1944),115.0
97,As Good As It Gets (1997),4.196428571428571,As Good As It Gets (1997),112.0
98,Assassins (1995),2.8717948717948723,Assassins (1995),39.0
99,"Assignment, The (1997)",3.5,"Assignment, The (1997)",18.0
100,"Associate, The (1996)",3.2439024390243905,"Associate, The (1996)",41.0
101,Audrey Rose (1977),2.1666666666666665,Audrey Rose (1977),12.0
102,August (1996),1.0,August (1996),1.0
103,Austin Powers: International Man of Mystery (1997),3.246153846153846,Austin Powers: International Man of Mystery (1997),130.0
104,"Awfully Big Adventure, An (1995)",2.375,"Awfully Big Adventure, An (1995)",8.0
105,Ayn Rand: A Sense of Life (1997),3.1428571428571432,Ayn Rand: A Sense of Life (1997),7.0
106,B*A*P*S (1997),1.6666666666666667,B*A*P*S (1997),3.0
107,B. Monkey (1998),3.0,B. Monkey (1998),1.0
108,Babe (1995),3.9954337899543377,Babe (1995),219.0
109,"Baby-Sitters Club, The (1995)",2.5,"Baby-Sitters Club, The (1995)",10.0
110,Babyfever (1994),1.0,Babyfever (1994),2.0
111,"Babysitter, The (1995)",2.333333333333333,"Babysitter, The (1995)",3.0
112,Back to the Future (1985),3.834285714285714,Back to the Future (1985),350.0
113,Backbeat (1993),3.4736842105263164,Backbeat (1993),19.0
114,Bad Boys (1995),3.1052631578947367,Bad Boys (1995),57.0
115,Bad Company (1995),2.2222222222222223,Bad Company (1995),9.0
116,Bad Girls (1994),1.8333333333333333,Bad Girls (1994),6.0
117,Bad Moon (1996),2.6666666666666665,Bad Moon (1996),6.0
118,Bad Taste (1987),3.375,Bad Taste (1987),16.0
119,"Ballad of Narayama, The (Narayama Bushiko) (1958)",2.75,"Ballad of Narayama, The (Narayama Bushiko) (1958)",4.0
120,Balto (1995),3.0,Balto (1995),16.0
121,Bananas (1971),3.701754385964912,Bananas (1971),57.0
122,"Band Wagon, The (1953)",3.6666666666666665,"Band Wagon, The (1953)",9.0
123,Barb Wire (1996),1.9333333333333331,Barb Wire (1996),30.0
124,Barbarella (1968),2.571428571428572,Barbarella (1968),28.0
125,Barcelona (1994),3.018867924528302,Barcelona (1994),53.0
126,Basic Instinct (1992),3.2277227722772284,Basic Instinct (1992),101.0
127,"Basketball Diaries, The (1995)",3.425,"Basketball Diaries, The (1995)",40.0
128,Basquiat (1996),3.25,Basquiat (1996),44.0
129,Bastard Out of Carolina (1996),2.875,Bastard Out of Carolina (1996),16.0
130,Batman & Robin (1997),2.4516129032258065,Batman & Robin (1997),62.0
131,Batman (1989),3.4278606965174134,Batman (1989),201.0
132,Batman Forever (1995),2.6666666666666665,Batman Forever (1995),114.0
133,Batman Returns (1992),2.683098591549296,Batman Returns (1992),142.0
134,Baton Rouge (1988),1.0,Baton Rouge (1988),1.0
135,Bean (1997),2.659340659340659,Bean (1997),91.0
136,"Beans of Egypt, Maine, The (1994)",3.5,"Beans of Egypt, Maine, The (1994)",2.0
137,Beat the Devil (1954),3.7142857142857135,Beat the Devil (1954),7.0
138,"Beautician and the Beast, The (1997)",2.313953488372093,"Beautician and the Beast, The (1997)",86.0
139,Beautiful Girls (1996),3.391304347826087,Beautiful Girls (1996),115.0
140,Beautiful Thing (1996),3.9655172413793114,Beautiful Thing (1996),29.0
141,Beauty and the Beast (1991),3.792079207920792,Beauty and the Beast (1991),202.0
142,Beavis and Butt-head Do America (1996),2.7884615384615383,Beavis and Butt-head Do America (1996),156.0
143,Bed of Roses (1996),3.2333333333333334,Bed of Roses (1996),60.0
144,Bedknobs and Broomsticks (1971),3.0701754385964914,Bedknobs and Broomsticks (1971),57.0
145,Before Sunrise (1995),3.4081632653061225,Before Sunrise (1995),49.0
146,Before and After (1996),2.8461538461538463,Before and After (1996),26.0
147,Before the Rain (Pred dozhdot) (1994),3.8,Before the Rain (Pred dozhdot) (1994),10.0
148,Being Human (1993),1.75,Being Human (1993),4.0
149,Being There (1979),3.905172413793104,Being There (1979),116.0
150,"Believers, The (1987)",2.25,"Believers, The (1987)",16.0
151,Belle de jour (1967),3.9459459459459465,Belle de jour (1967),37.0
152,Ben-Hur (1959),3.8306451612903225,Ben-Hur (1959),124.0
153,Benny & Joon (1993),3.4607843137254903,Benny & Joon (1993),102.0
154,Bent (1997),2.6666666666666665,Bent (1997),6.0
155,Best Men (1997),3.4,Best Men (1997),5.0
156,Best of the Best 3: No Turning Back (1995),1.5,Best of the Best 3: No Turning Back (1995),6.0
157,Better Off Dead... (1985),3.5696202531645564,Better Off Dead... (1985),79.0
158,"Beverly Hillbillies, The (1993)",2.25,"Beverly Hillbillies, The (1993)",20.0
159,Beverly Hills Cop III (1994),2.392857142857143,Beverly Hills Cop III (1994),28.0
160,Beverly Hills Ninja (1997),2.3125,Beverly Hills Ninja (1997),48.0
161,"Bewegte Mann, Der (1994)",3.6666666666666665,"Bewegte Mann, Der (1994)",3.0
162,Beyond Bedlam (1993),1.0,Beyond Bedlam (1993),2.0
163,Beyond Rangoon (1995),3.055555555555556,Beyond Rangoon (1995),18.0
164,Bhaji on the Beach (1993),2.875,Bhaji on the Beach (1993),8.0
165,"Big Bang Theory, The (1994)",4.0,"Big Bang Theory, The (1994)",1.0
166,"Big Blue, The (Grand bleu, Le) (1988)",3.2352941176470584,"Big Blue, The (Grand bleu, Le) (1988)",17.0
167,Big Bully (1996),1.8571428571428568,Big Bully (1996),14.0
168,"Big Green, The (1995)",2.5,"Big Green, The (1995)",14.0
169,"Big Lebowski, The (1998)",3.8333333333333335,"Big Lebowski, The (1998)",42.0
170,Big Night (1996),3.900584795321637,Big Night (1996),171.0
171,"Big One, The (1997)",3.0,"Big One, The (1997)",1.0
172,"Big Sleep, The (1946)",4.027397260273974,"Big Sleep, The (1946)",73.0
173,"Big Squeeze, The (1996)",2.25,"Big Squeeze, The (1996)",4.0
174,Billy Madison (1995),3.081081081081081,Billy Madison (1995),37.0
175,Bio-Dome (1996),1.903225806451613,Bio-Dome (1996),31.0
176,Bird of Prey (1996),1.0,Bird of Prey (1996),1.0
177,"Birdcage, The (1996)",3.4436860068259385,"Birdcage, The (1996)",293.0
178,"Birds, The (1963)",3.8086419753086425,"Birds, The (1963)",162.0
179,Bitter Moon (1992),3.3,Bitter Moon (1992),10.0
180,Bitter Sugar (Azucar Amargo) (1996),4.333333333333333,Bitter Sugar (Azucar Amargo) (1996),3.0
181,Black Beauty (1994),3.4444444444444446,Black Beauty (1994),27.0
182,Black Sheep (1996),2.636363636363636,Black Sheep (1996),55.0
183,Blade Runner (1982),4.138181818181818,Blade Runner (1982),275.0
184,Blink (1994),3.0,Blink (1994),19.0
185,Bliss (1997),2.571428571428572,Bliss (1997),7.0
186,"Blob, The (1958)",2.717391304347826,"Blob, The (1958)",46.0
187,Blood & Wine (1997),2.863636363636364,Blood & Wine (1997),22.0
188,Blood Beach (1981),2.1666666666666665,Blood Beach (1981),6.0
189,Blood For Dracula (Andy Warhol's Dracula) (1974),2.4,Blood For Dracula (Andy Warhol's Dracula) (1974),5.0
190,Bloodsport 2 (1995),1.7,Bloodsport 2 (1995),10.0
191,"Bloody Child, The (1996)",1.0,"Bloody Child, The (1996)",1.0
192,Blown Away (1994),2.7586206896551726,Blown Away (1994),29.0
193,"Blue Angel, The (Blaue Engel, Der) (1930)",3.7777777777777777,"Blue Angel, The (Blaue Engel, Der) (1930)",18.0
194,Blue Chips (1994),2.6666666666666665,Blue Chips (1994),9.0
195,Blue Sky (1994),3.4166666666666665,Blue Sky (1994),12.0
196,Blue in the Face (1995),3.1777777777777776,Blue in the Face (1995),45.0
197,Blues Brothers 2000 (1998),2.821428571428572,Blues Brothers 2000 (1998),28.0
198,"Blues Brothers, The (1980)",3.836653386454184,"Blues Brothers, The (1980)",251.0
199,Bob Roberts (1992),3.7411764705882353,Bob Roberts (1992),85.0
200,Body Parts (1991),1.6153846153846154,Body Parts (1991),13.0
201,"Body Snatcher, The (1945)",3.5,"Body Snatcher, The (1945)",22.0
202,Body Snatchers (1993),2.971014492753623,Body Snatchers (1993),69.0
203,Bogus (1996),2.5454545454545454,Bogus (1996),22.0
204,"Bonheur, Le (1965)",2.0,"Bonheur, Le (1965)",4.0
205,Bonnie and Clyde (1967),3.819672131147541,Bonnie and Clyde (1967),122.0
206,Boogie Nights (1997),3.5873015873015874,Boogie Nights (1997),189.0
207,Boomerang (1992),2.8125,Boomerang (1992),32.0
208,"Boot, Das (1981)",4.2039800995024885,"Boot, Das (1981)",201.0
209,Booty Call (1997),2.1666666666666665,Booty Call (1997),48.0
210,Bottle Rocket (1996),3.4545454545454546,Bottle Rocket (1996),44.0
211,Bound (1996),3.821705426356589,Bound (1996),129.0
212,Boxing Helena (1993),2.2,Boxing Helena (1993),15.0
213,Boy's Life 2 (1997),3.333333333333333,Boy's Life 2 (1997),6.0
214,Boys (1996),3.333333333333333,Boys (1996),6.0
215,Boys Life (1995),3.2,Boys Life (1995),5.0
216,Boys in Venice (1996),1.0,Boys in Venice (1996),2.0
217,"Boys of St. Vincent, The (1993)",3.3846153846153846,"Boys of St. Vincent, The (1993)",13.0
218,Boys on the Side (1995),3.147058823529412,Boys on the Side (1995),34.0
219,"Boys, Les (1997)",3.333333333333333,"Boys, Les (1997)",3.0
220,"Brady Bunch Movie, The (1995)",2.8026315789473686,"Brady Bunch Movie, The (1995)",76.0
221,Braindead (1992),3.8571428571428568,Braindead (1992),14.0
222,Bram Stoker's Dracula (1992),3.158333333333333,Bram Stoker's Dracula (1992),120.0
223,Brassed Off (1996),3.9375,Brassed Off (1996),32.0
224,Braveheart (1995),4.151515151515151,Braveheart (1995),297.0
225,Brazil (1985),3.817307692307693,Brazil (1985),208.0
226,Bread and Chocolate (Pane e cioccolata) (1973),3.1666666666666665,Bread and Chocolate (Pane e cioccolata) (1973),12.0
227,Breakdown (1997),3.4025974025974026,Breakdown (1997),77.0
228,Breakfast at Tiffany's (1961),3.726315789473684,Breakfast at Tiffany's (1961),95.0
229,Breaking the Waves (1996),3.72972972972973,Breaking the Waves (1996),74.0
230,Bride of Frankenstein (1935),3.608695652173913,Bride of Frankenstein (1935),46.0
231,"Bridge on the River Kwai, The (1957)",4.175757575757577,"Bridge on the River Kwai, The (1957)",165.0
232,"Bridges of Madison County, The (1995)",3.164179104477612,"Bridges of Madison County, The (1995)",67.0
233,Bringing Up Baby (1938),3.8382352941176467,Bringing Up Baby (1938),68.0
234,Broken Arrow (1996),3.0314960629921264,Broken Arrow (1996),254.0
235,Broken English (1996),2.25,Broken English (1996),8.0
236,"Bronx Tale, A (1993)",3.7916666666666665,"Bronx Tale, A (1993)",48.0
237,Brother Minister: The Assassination of Malcolm X (1994),3.0,Brother Minister: The Assassination of Malcolm X (1994),5.0
238,"Brother's Kiss, A (1997)",2.0,"Brother's Kiss, A (1997)",1.0
239,"Brothers McMullen, The (1995)",3.4520547945205484,"Brothers McMullen, The (1995)",73.0
240,Brothers in Trouble (1995),4.0,Brothers in Trouble (1995),1.0
241,"Browning Version, The (1994)",3.0,"Browning Version, The (1994)",10.0
242,Buddy (1997),2.25,Buddy (1997),4.0
243,Bulletproof (1996),3.204081632653061,Bulletproof (1996),49.0
244,Bullets Over Broadway (1994),3.72093023255814,Bullets Over Broadway (1994),86.0
245,Burnt By the Sun (1994),3.7083333333333335,Burnt By the Sun (1994),24.0
246,Burnt Offerings (1976),2.4444444444444446,Burnt Offerings (1976),9.0
247,Bushwhacked (1995),1.5714285714285714,Bushwhacked (1995),7.0
248,Butch Cassidy and the Sundance Kid (1969),3.9490740740740735,Butch Cassidy and the Sundance Kid (1969),216.0
249,"Butcher Boy, The (1998)",4.0,"Butcher Boy, The (1998)",2.0
250,Butterfly Kiss (1995),1.0,Butterfly Kiss (1995),1.0
251,"Bye Bye, Love (1995)",3.1333333333333333,"Bye Bye, Love (1995)",15.0
252,C'est arrivé près de chez vous (1992),3.0,C'est arrivé près de chez vous (1992),4.0
253,Cabin Boy (1994),2.5625,Cabin Boy (1994),16.0
254,"Cable Guy, The (1996)",2.339622641509434,"Cable Guy, The (1996)",106.0
255,Calendar Girl (1993),2.0,Calendar Girl (1993),3.0
256,Canadian Bacon (1994),2.413793103448276,Canadian Bacon (1994),29.0
257,"Candidate, The (1972)",3.641025641025641,"Candidate, The (1972)",39.0
258,Candyman (1992),2.7230769230769236,Candyman (1992),65.0
259,Candyman: Farewell to the Flesh (1995),2.4285714285714284,Candyman: Farewell to the Flesh (1995),21.0
260,Cape Fear (1962),3.5232558139534884,Cape Fear (1962),86.0
261,Cape Fear (1991),3.456140350877193,Cape Fear (1991),171.0
262,Captives (1994),2.333333333333333,Captives (1994),3.0
263,Career Girls (1997),3.2564102564102564,Career Girls (1997),39.0
264,Careful (1992),1.0,Careful (1992),1.0
265,Carlito's Way (1993),3.4074074074074074,Carlito's Way (1993),54.0
266,Carmen Miranda: Bananas Is My Business (1994),1.5,Carmen Miranda: Bananas Is My Business (1994),2.0
267,Caro Diario (Dear Diary) (1994),2.75,Caro Diario (Dear Diary) (1994),4.0
268,Carpool (1996),2.8,Carpool (1996),5.0
269,Carrie (1976),3.5041322314049586,Carrie (1976),121.0
270,Carried Away (1996),3.0,Carried Away (1996),11.0
271,Carrington (1995),3.2307692307692313,Carrington (1995),13.0
272,Casablanca (1942),4.4567901234567895,Casablanca (1942),243.0
273,Casino (1995),3.648351648351648,Casino (1995),91.0
274,Casper (1995),3.0769230769230766,Casper (1995),52.0
275,Castle Freak (1995),1.25,Castle Freak (1995),4.0
276,Cat People (1982),2.895833333333333,Cat People (1982),48.0
277,Cat on a Hot Tin Roof (1958),3.9516129032258074,Cat on a Hot Tin Roof (1958),62.0
278,Cats Don't Dance (1997),2.84375,Cats Don't Dance (1997),32.0
279,Catwalk (1995),1.3333333333333333,Catwalk (1995),3.0
280,Caught (1996),3.25,Caught (1996),8.0
281,Celestial Clockwork (1994),4.0,Celestial Clockwork (1994),2.0
282,"Celluloid Closet, The (1995)",3.8928571428571432,"Celluloid Closet, The (1995)",56.0
283,Celtic Pride (1996),2.2,Celtic Pride (1996),15.0
284,"Cement Garden, The (1993)",3.6,"Cement Garden, The (1993)",10.0
285,Cemetery Man (Dellamorte Dellamore) (1994),2.8695652173913038,Cemetery Man (Dellamorte Dellamore) (1994),23.0
286,Century (1993),3.0,Century (1993),1.0
287,Chain Reaction (1996),2.7,Chain Reaction (1996),80.0
288,Chairman of the Board (1998),2.2222222222222223,Chairman of the Board (1998),9.0
289,"Chamber, The (1996)",3.0930232558139537,"Chamber, The (1996)",43.0
290,Charade (1963),3.925,Charade (1963),40.0
291,Chasers (1994),2.2,Chasers (1994),5.0
292,Chasing Amy (1997),3.8390501319261214,Chasing Amy (1997),379.0
293,Children of the Corn: The Gathering (1996),1.3157894736842106,Children of the Corn: The Gathering (1996),19.0
294,Children of the Revolution (1996),3.2,Children of the Revolution (1996),5.0
295,Chinatown (1974),4.1360544217687085,Chinatown (1974),147.0
296,"Christmas Carol, A (1938)",4.057971014492754,"Christmas Carol, A (1938)",69.0
297,Chungking Express (1994),3.571428571428572,Chungking Express (1994),28.0
298,"Ciao, Professore! (1993)",2.75,"Ciao, Professore! (1993)",4.0
299,Cinderella (1950),3.581395348837209,Cinderella (1950),129.0
300,Cinema Paradiso (1988),4.1735537190082646,Cinema Paradiso (1988),121.0
301,Circle of Friends (1995),3.486842105263158,Circle of Friends (1995),76.0
302,Citizen Kane (1941),4.292929292929293,Citizen Kane (1941),198.0
303,Citizen Ruth (1996),3.6222222222222222,Citizen Ruth (1996),45.0
304,City Hall (1996),3.1392405063291138,City Hall (1996),79.0
305,City Slickers II: The Legend of Curly's Gold (1994),2.5454545454545454,City Slickers II: The Legend of Curly's Gold (1994),44.0
306,City of Angels (1998),3.0,City of Angels (1998),8.0
307,City of Industry (1997),2.5,City of Industry (1997),6.0
308,"City of Lost Children, The (1995)",3.7916666666666665,"City of Lost Children, The (1995)",96.0
309,Clean Slate (1994),2.8,Clean Slate (1994),10.0
310,Clean Slate (Coup de Torchon) (1981),2.75,Clean Slate (Coup de Torchon) (1981),4.0
311,Clear and Present Danger (1994),3.5698324022346366,Clear and Present Danger (1994),179.0
312,Clerks (1994),3.8040540540540535,Clerks (1994),148.0
313,"Client, The (1994)",3.3814432989690717,"Client, The (1994)",97.0
314,Cliffhanger (1993),3.0215053763440864,Cliffhanger (1993),93.0
315,Clockers (1995),3.0,Clockers (1995),33.0
316,"Clockwork Orange, A (1971)",3.909502262443439,"Clockwork Orange, A (1971)",221.0
317,"Close Shave, A (1995)",4.491071428571429,"Close Shave, A (1995)",112.0
318,Clueless (1995),3.4588235294117653,Clueless (1995),170.0
319,Cobb (1994),2.8,Cobb (1994),15.0
320,Cold Comfort Farm (1995),3.824,Cold Comfort Farm (1995),125.0
321,Coldblooded (1995),2.0,Coldblooded (1995),1.0
322,"Collectionneuse, La (1967)",2.0,"Collectionneuse, La (1967)",2.0
323,"Colonel Chabert, Le (1994)",3.5,"Colonel Chabert, Le (1994)",4.0
324,Color of Night (1994),2.7333333333333334,Color of Night (1994),15.0
325,Commandments (1997),2.6666666666666665,Commandments (1997),3.0
326,Con Air (1997),3.45985401459854,Con Air (1997),137.0
327,Conan the Barbarian (1981),3.0467289719626165,Conan the Barbarian (1981),107.0
328,Condition Red (1995),2.0,Condition Red (1995),2.0
329,Coneheads (1993),2.2195121951219514,Coneheads (1993),41.0
330,Congo (1995),2.452380952380953,Congo (1995),42.0
331,Conspiracy Theory (1997),3.4237288135593222,Conspiracy Theory (1997),295.0
332,Contact (1997),3.803536345776032,Contact (1997),509.0
333,"Contempt (Mépris, Le) (1963)",3.0,"Contempt (Mépris, Le) (1963)",9.0
334,"Convent, The (Convento, O) (1995)",2.5,"Convent, The (Convento, O) (1995)",2.0
335,"Cook the Thief His Wife & Her Lover, The (1989)",3.024390243902439,"Cook the Thief His Wife & Her Lover, The (1989)",82.0
336,Cool Hand Luke (1967),3.9939024390243913,Cool Hand Luke (1967),164.0
337,Cool Runnings (1993),3.1617647058823533,Cool Runnings (1993),68.0
338,Cop Land (1997),3.377142857142857,Cop Land (1997),175.0
339,Cops and Robbersons (1994),2.3076923076923075,Cops and Robbersons (1994),13.0
340,Copycat (1995),3.302325581395349,Copycat (1995),86.0
341,"Corrina, Corrina (1994)",3.1538461538461537,"Corrina, Corrina (1994)",39.0
342,Cosi (1996),4.0,Cosi (1996),4.0
343,Country Life (1994),1.5,Country Life (1994),2.0
344,Courage Under Fire (1996),3.6108597285067874,Courage Under Fire (1996),221.0
345,"Cowboy Way, The (1994)",2.2105263157894743,"Cowboy Way, The (1994)",19.0
346,"Craft, The (1996)",3.1153846153846154,"Craft, The (1996)",104.0
347,Crash (1996),2.546875,Crash (1996),128.0
348,Crimson Tide (1995),3.6298701298701297,Crimson Tide (1995),154.0
349,Critical Care (1997),3.0909090909090913,Critical Care (1997),11.0
350,Cronos (1992),3.2,Cronos (1992),10.0
351,Crooklyn (1994),3.5,Crooklyn (1994),10.0
352,Crossfire (1947),4.25,Crossfire (1947),4.0
353,"Crossing Guard, The (1995)",3.0,"Crossing Guard, The (1995)",28.0
354,"Crow, The (1994)",3.417910447761194,"Crow, The (1994)",134.0
355,"Crow: City of Angels, The (1996)",1.948717948717949,"Crow: City of Angels, The (1996)",39.0
356,Crows and Sparrows (1949),1.5,Crows and Sparrows (1949),2.0
357,"Crucible, The (1996)",3.3376623376623376,"Crucible, The (1996)",77.0
358,"Crude Oasis, The (1995)",1.0,"Crude Oasis, The (1995)",1.0
359,Crumb (1994),3.7901234567901234,Crumb (1994),81.0
360,"Cry, the Beloved Country (1995)",3.75,"Cry, the Beloved Country (1995)",24.0
361,"Crying Game, The (1992)",3.6218487394957983,"Crying Game, The (1992)",119.0
362,Curdled (1996),2.75,Curdled (1996),8.0
363,"Cure, The (1995)",3.333333333333333,"Cure, The (1995)",6.0
364,Cutthroat Island (1995),2.4444444444444446,Cutthroat Island (1995),18.0
365,Cyclo (1995),3.0,Cyclo (1995),1.0
366,Cyrano de Bergerac (1990),3.8181818181818175,Cyrano de Bergerac (1990),66.0
367,"Cérémonie, La (1995)",4.0,"Cérémonie, La (1995)",3.0
368,D3: The Mighty Ducks (1996),2.5789473684210527,D3: The Mighty Ducks (1996),19.0
369,Dadetown (1995),3.0,Dadetown (1995),1.0
370,Daens (1992),1.0,Daens (1992),1.0
371,"Damsel in Distress, A (1937)",4.0,"Damsel in Distress, A (1937)",1.0
372,Dances with Wolves (1990),3.79296875,Dances with Wolves (1990),256.0
373,Dangerous Beauty (1998),3.7692307692307687,Dangerous Beauty (1998),13.0
