,title,count,mean,std,min,25%,50%,75%,max
27,"African Queen, The (1951)",152.0,4.1842105263157885,0.7583622352731334,2.0,4.0,4.0,5.0,5.0
28,Afterglow (1997),18.0,3.111111111111111,1.022619985129827,1.0,2.25,3.0,4.0,5.0
29,"Age of Innocence, The (1993)",65.0,3.3846153846153846,1.0107594250782996,1.0,3.0,3.0,4.0,5.0
30,Aiqing wansui (1994),1.0,5.0,,5.0,5.0,5.0,5.0,5.0
31,Air Bud (1997),43.0,2.5581395348837206,1.3327795084565501,1.0,1.0,3.0,3.0,5.0
32,Air Force One (1997),431.0,3.6310904872389793,0.998071847475548,1.0,3.0,4.0,4.0,5.0
33,"Air Up There, The (1994)",16.0,2.8125,0.6551081335677849,1.0,3.0,3.0,3.0,4.0
34,Airheads (1994),32.0,2.34375,0.9370294518041506,1.0,2.0,2.0,3.0,5.0
35,Akira (1988),50.0,3.38,1.1228607778930615,1.0,3.0,4.0,4.0,5.0
36,Aladdin (1992),219.0,3.8127853881278537,0.9120100819126324,1.0,3.0,4.0,4.0,5.0
37,Aladdin and the King of Thieves (1996),26.0,2.8461538461538463,1.0466062370273814,1.0,2.0,3.0,3.75,5.0
38,Alaska (1996),13.0,2.6923076923076925,1.2506408613597126,1.0,2.0,3.0,3.0,5.0
39,Albino Alligator (1996),6.0,2.5,0.8366600265340756,1.0,2.25,3.0,3.0,3.0
40,Alice in Wonderland (1951),81.0,3.6666666666666665,0.8514693182963202,1.0,3.0,4.0,4.0,5.0
41,Alien (1979),291.0,4.034364261168385,0.9278383431364504,1.0,4.0,4.0,5.0,5.0
42,Alien 3 (1992),100.0,2.83,1.1014682579322574,1.0,2.0,3.0,4.0,5.0
43,Alien: Resurrection (1997),124.0,3.0967741935483866,1.1506050358819508,1.0,2.0,3.0,4.0,5.0
44,Aliens (1986),284.0,3.9471830985915495,0.9289375109331292,1.0,3.0,4.0,5.0,5.0
45,All About Eve (1950),66.0,4.045454545454546,0.8670341698850462,2.0,3.25,4.0,5.0,5.0
46,All Dogs Go to Heaven 2 (1996),15.0,1.8666666666666667,0.9154754164341268,1.0,1.0,2.0,3.0,3.0
47,All Over Me (1997),3.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0
48,All Things Fair (1996),1.0,3.0,,3.0,3.0,3.0,3.0,3.0
49,Alphaville (1965),12.0,3.333333333333333,1.4974726182552531,1.0,2.75,3.0,5.0,5.0
50,Amadeus (1984),276.0,4.163043478260869,0.8216680229392817,1.0,4.0,4.0,5.0,5.0
51,Amateur (1994),18.0,3.1666666666666665,1.424574239801451,1.0,2.0,4.0,4.0,5.0
52,"Amazing Panda Adventure, The (1995)",10.0,2.8,1.2292725943057183,1.0,2.0,2.5,3.75,5.0
53,American Buffalo (1996),11.0,2.636363636363636,1.12006493318265,1.0,2.0,3.0,3.5,4.0
54,American Dream (1990),2.0,2.5,2.1213203435596424,1.0,1.75,2.5,3.25,4.0
55,"American President, The (1995)",164.0,3.6280487804878048,0.9538780246705668,1.0,3.0,4.0,4.0,5.0
56,American Strays (1996),2.0,2.0,1.4142135623730951,1.0,1.5,2.0,2.5,3.0
57,"American Werewolf in London, An (1981)",99.0,3.5353535353535355,0.9182184537676288,1.0,3.0,4.0,4.0,5.0
58,"American in Paris, An (1951)",50.0,3.7,0.8630747123996125,1.0,3.0,4.0,4.0,5.0
59,Amistad (1997),124.0,3.85483870967742,1.064532023500695,1.0,3.0,4.0,5.0,5.0
60,Amityville 1992: It's About Time (1992),5.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
61,Amityville 3-D (1983),6.0,1.1666666666666667,0.40824829046386296,1.0,1.0,1.0,1.0,2.0
62,"Amityville Curse, The (1990)",4.0,1.25,0.5,1.0,1.0,1.0,1.25,2.0
63,"Amityville Horror, The (1979)",53.0,2.5660377358490565,0.9709122190034272,1.0,2.0,3.0,3.0,5.0
64,Amityville II: The Possession (1982),14.0,1.6428571428571428,1.0082080720186268,1.0,1.0,1.0,2.0,4.0
65,Amityville: A New Generation (1993),5.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
66,Amityville: Dollhouse (1996),3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
67,Amos & Andrew (1993),19.0,2.6842105263157894,1.0029197142425583,1.0,2.0,3.0,3.0,5.0
68,An Unforgettable Summer (1994),4.0,2.5,1.0,1.0,2.5,3.0,3.0,3.0
69,Anaconda (1997),38.0,2.2894736842105257,1.010964076589088,1.0,1.0,2.0,3.0,4.0
70,Anastasia (1997),66.0,3.4242424242424243,1.0962959462958903,1.0,3.0,4.0,4.0,5.0
71,Andre (1994),18.0,3.111111111111111,1.078609610939221,1.0,2.0,3.0,4.0,5.0
72,Angel Baby (1995),4.0,3.75,1.5,2.0,2.75,4.0,5.0,5.0
73,Angel and the Badman (1947),6.0,3.0,0.6324555320336759,2.0,3.0,3.0,3.0,4.0
74,Angel on My Shoulder (1946),1.0,2.0,,2.0,2.0,2.0,2.0,2.0
75,Angela (1995),1.0,3.0,,3.0,3.0,3.0,3.0,3.0
76,Angels and Insects (1995),72.0,3.4166666666666665,1.2304814127170929,1.0,3.0,4.0,4.0,5.0
77,Angels in the Outfield (1994),39.0,2.9230769230769234,1.0854204953942332,1.0,3.0,3.0,3.0,5.0
78,Angus (1995),14.0,2.642857142857143,0.7449463436684921,1.0,2.0,3.0,3.0,4.0
79,Anna (1996),2.0,4.5,0.7071067811865476,4.0,4.25,4.5,4.75,5.0
80,Anna Karenina (1997),33.0,3.0909090909090913,1.3775802236992492,1.0,2.0,3.0,4.0,5.0
81,Anne Frank Remembered (1995),21.0,3.8571428571428568,1.0623424252901832,2.0,3.0,4.0,5.0,5.0
82,Annie Hall (1977),180.0,3.911111111111111,1.0638230251908116,1.0,3.0,4.0,5.0,5.0
83,Another Stakeout (1993),28.0,2.5,1.0,1.0,2.0,3.0,3.0,5.0
84,Antonia's Line (1995),69.0,3.9565217391304346,1.0632190661423904,1.0,3.0,4.0,5.0,5.0
85,Aparajito (1956),7.0,3.571428571428572,1.902379462422684,1.0,2.0,5.0,5.0,5.0
86,"Apartment, The (1960)",63.0,3.936507936507936,1.0139831371158747,1.0,3.0,4.0,5.0,5.0
87,Apocalypse Now (1979),221.0,4.04524886877828,0.971286661440327,1.0,4.0,4.0,5.0,5.0
88,Apollo 13 (1995),276.0,3.931159420289855,0.8083474252741204,2.0,3.0,4.0,4.25,5.0
89,"Apostle, The (1997)",55.0,3.654545454545455,1.1257619940911434,1.0,3.0,4.0,4.0,5.0
90,"Apple Dumpling Gang, The (1975)",25.0,2.84,0.8504900548115384,1.0,2.0,3.0,3.0,4.0
91,April Fool's Day (1986),15.0,2.6666666666666665,0.8997354108424372,1.0,2.0,3.0,3.0,4.0
92,Apt Pupil (1998),160.0,4.1,0.8556140904041457,1.0,4.0,4.0,5.0,5.0
93,"Aristocats, The (1970)",54.0,3.1296296296296298,1.0996791349572093,1.0,2.0,3.0,4.0,5.0
94,Army of Darkness (1993),116.0,3.431034482758621,1.1811868602387183,1.0,3.0,4.0,4.0,5.0
95,Around the World in 80 Days (1956),59.0,3.6610169491525424,0.7792606905559296,2.0,3.0,4.0,4.0,5.0
96,"Arrival, The (1996)",83.0,3.036144578313253,1.1836877382861697,1.0,2.0,3.0,4.0,5.0
97,Arsenic and Old Lace (1944),115.0,4.0782608695652165,0.8599043815362272,1.0,4.0,4.0,5.0,5.0
98,As Good As It Gets (1997),112.0,4.196428571428571,0.8035875159264828,1.0,4.0,4.0,5.0,5.0
99,Assassins (1995),39.0,2.8717948717948723,1.1280977743059606,1.0,2.0,3.0,4.0,5.0
100,"Assignment, The (1997)",18.0,3.5,1.3394467690277294,1.0,3.0,3.0,5.0,5.0
101,"Associate, The (1996)",41.0,3.2439024390243905,0.9690327085521429,1.0,3.0,3.0,4.0,5.0
102,Audrey Rose (1977),12.0,2.1666666666666665,1.1146408580454257,1.0,1.75,2.0,2.25,5.0
103,August (1996),1.0,1.0,,1.0,1.0,1.0,1.0,1.0
104,Austin Powers: International Man of Mystery (1997),130.0,3.246153846153846,1.134802092922537,1.0,2.25,3.0,4.0,5.0
105,"Awfully Big Adventure, An (1995)",8.0,2.375,1.0606601717798212,1.0,1.75,2.5,3.0,4.0
106,Ayn Rand: A Sense of Life (1997),7.0,3.1428571428571432,1.5735915849388864,1.0,2.0,4.0,4.0,5.0
107,B*A*P*S (1997),3.0,1.6666666666666667,1.1547005383792517,1.0,1.0,1.0,2.0,3.0
108,B. Monkey (1998),1.0,3.0,,3.0,3.0,3.0,3.0,3.0
109,Babe (1995),219.0,3.9954337899543377,1.0022805046720522,1.0,3.0,4.0,5.0,5.0
110,"Baby-Sitters Club, The (1995)",10.0,2.5,1.2692955176439846,1.0,2.0,2.0,3.0,5.0
111,Babyfever (1994),2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
112,"Babysitter, The (1995)",3.0,2.333333333333333,1.1547005383792517,1.0,2.0,3.0,3.0,3.0
113,Back to the Future (1985),350.0,3.834285714285714,0.9121726502814088,1.0,3.0,4.0,4.0,5.0
114,Backbeat (1993),19.0,3.4736842105263164,0.9642741111341261,2.0,3.0,3.0,4.0,5.0
115,Bad Boys (1995),57.0,3.1052631578947367,1.0968169942141641,1.0,3.0,3.0,4.0,5.0
116,Bad Company (1995),9.0,2.2222222222222223,1.0929064207170005,1.0,2.0,2.0,2.0,4.0
117,Bad Girls (1994),6.0,1.8333333333333333,0.7527726527090809,1.0,1.25,2.0,2.0,3.0
118,Bad Moon (1996),6.0,2.6666666666666665,1.0327955589886446,1.0,2.25,3.0,3.0,4.0
119,Bad Taste (1987),16.0,3.375,1.707825127659933,1.0,1.0,4.0,5.0,5.0
120,"Ballad of Narayama, The (Narayama Bushiko) (1958)",4.0,2.75,1.707825127659933,1.0,1.75,2.5,3.5,5.0
121,Balto (1995),16.0,3.0,1.2110601416389966,1.0,2.0,3.0,4.0,5.0
122,Bananas (1971),57.0,3.701754385964912,1.0344928412495134,1.0,3.0,4.0,4.0,5.0
123,"Band Wagon, The (1953)",9.0,3.6666666666666665,1.118033988749895,2.0,3.0,3.0,5.0,5.0
124,Barb Wire (1996),30.0,1.9333333333333331,0.980265035707122,1.0,1.0,2.0,3.0,4.0
125,Barbarella (1968),28.0,2.571428571428572,1.1031460542154956,1.0,2.0,3.0,3.25,4.0
126,Barcelona (1994),53.0,3.018867924528302,1.1178717078884912,1.0,2.0,3.0,4.0,5.0
127,Basic Instinct (1992),101.0,3.2277227722772284,0.8930978459140066,1.0,3.0,3.0,4.0,5.0
128,"Basketball Diaries, The (1995)",40.0,3.425,1.2585604311968333,1.0,2.75,4.0,4.0,5.0
129,Basquiat (1996),44.0,3.25,1.1437392774945347,1.0,3.0,3.0,4.0,5.0
130,Bastard Out of Carolina (1996),16.0,2.875,1.0878112581387147,1.0,2.0,3.0,3.25,5.0
131,Batman & Robin (1997),62.0,2.4516129032258065,1.0815504862266052,1.0,2.0,2.0,3.0,5.0
132,Batman (1989),201.0,3.4278606965174134,0.9465832771064098,1.0,3.0,4.0,4.0,5.0
133,Batman Forever (1995),114.0,2.6666666666666665,1.0276415706072413,1.0,2.0,3.0,3.0,5.0
134,Batman Returns (1992),142.0,2.683098591549296,0.9847757300206558,1.0,2.0,3.0,3.0,5.0
135,Baton Rouge (1988),1.0,1.0,,1.0,1.0,1.0,1.0,1.0
136,Bean (1997),91.0,2.659340659340659,1.1852780285165183,1.0,2.0,3.0,4.0,5.0
137,"Beans of Egypt, Maine, The (1994)",2.0,3.5,0.7071067811865476,3.0,3.25,3.5,3.75,4.0
138,Beat the Devil (1954),7.0,3.7142857142857135,0.4879500364742666,3.0,3.5,4.0,4.0,4.0
139,"Beautician and the Beast, The (1997)",86.0,2.313953488372093,1.1089117920362743,1.0,1.0,2.0,3.0,5.0
140,Beautiful Girls (1996),115.0,3.391304347826087,0.9615014955048814,1.0,3.0,3.0,4.0,5.0
141,Beautiful Thing (1996),29.0,3.9655172413793114,1.0516231882424716,1.0,3.0,4.0,5.0,5.0
142,Beauty and the Beast (1991),202.0,3.792079207920792,0.9805758454702876,1.0,3.0,4.0,4.0,5.0
143,Beavis and Butt-head Do America (1996),156.0,2.7884615384615383,1.2598495321555103,1.0,2.0,3.0,4.0,5.0
144,Bed of Roses (1996),60.0,3.2333333333333334,1.1551897146513026,1.0,2.75,3.0,4.0,5.0
145,Bedknobs and Broomsticks (1971),57.0,3.0701754385964914,1.01523482721288,1.0,3.0,3.0,4.0,5.0
146,Before Sunrise (1995),49.0,3.4081632653061225,1.1350177558621928,1.0,3.0,4.0,4.0,5.0
147,Before and After (1996),26.0,2.8461538461538463,1.0076629473115577,1.0,2.0,3.0,3.0,5.0
148,Before the Rain (Pred dozhdot) (1994),10.0,3.8,1.1352924243950937,1.0,4.0,4.0,4.0,5.0
149,Being Human (1993),4.0,1.75,0.5,1.0,1.75,2.0,2.0,2.0
150,Being There (1979),116.0,3.905172413793104,1.063042788421516,1.0,3.0,4.0,5.0,5.0
151,"Believers, The (1987)",16.0,2.25,1.1832159566199232,1.0,1.0,2.0,3.0,5.0
152,Belle de jour (1967),37.0,3.9459459459459465,0.8480679331393327,1.0,4.0,4.0,4.0,5.0
153,Ben-Hur (1959),124.0,3.8306451612903225,0.9518640180394388,1.0,3.0,4.0,5.0,5.0
154,Benny & Joon (1993),102.0,3.4607843137254903,0.9299373834711916,1.0,3.0,3.5,4.0,5.0
155,Bent (1997),6.0,2.6666666666666665,1.3662601021279464,1.0,2.0,2.5,3.0,5.0
156,Best Men (1997),5.0,3.4,1.3416407864998738,2.0,2.0,4.0,4.0,5.0
157,Best of the Best 3: No Turning Back (1995),6.0,1.5,0.8366600265340756,1.0,1.0,1.0,1.75,3.0
158,Better Off Dead... (1985),79.0,3.5696202531645564,0.8724199221763518,1.0,3.0,4.0,4.0,5.0
159,"Beverly Hillbillies, The (1993)",20.0,2.25,1.1641577031891928,1.0,1.0,2.0,3.0,5.0
160,Beverly Hills Cop III (1994),28.0,2.392857142857143,0.9940297973880052,1.0,2.0,2.0,3.0,5.0
161,Beverly Hills Ninja (1997),48.0,2.3125,1.0945950383006222,1.0,1.0,3.0,3.0,5.0
162,"Bewegte Mann, Der (1994)",3.0,3.6666666666666665,0.5773502691896258,3.0,3.5,4.0,4.0,4.0
163,Beyond Bedlam (1993),2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
164,Beyond Rangoon (1995),18.0,3.055555555555556,0.9983646759294876,1.0,3.0,3.0,4.0,4.0
165,Bhaji on the Beach (1993),8.0,2.875,1.2464234547582251,1.0,2.0,3.0,3.25,5.0
166,"Big Bang Theory, The (1994)",1.0,4.0,,4.0,4.0,4.0,4.0,4.0
167,"Big Blue, The (Grand bleu, Le) (1988)",17.0,3.2352941176470584,1.1472473449907108,1.0,2.0,3.0,4.0,5.0
168,Big Bully (1996),14.0,1.8571428571428568,0.7703288865196432,1.0,1.0,2.0,2.0,3.0
169,"Big Green, The (1995)",14.0,2.5,1.0919284281983377,1.0,1.25,3.0,3.0,4.0
170,"Big Lebowski, The (1998)",42.0,3.8333333333333335,1.102473198981066,1.0,3.0,4.0,5.0,5.0
171,Big Night (1996),171.0,3.900584795321637,1.0496776578619342,1.0,3.0,4.0,5.0,5.0
172,"Big One, The (1997)",1.0,3.0,,3.0,3.0,3.0,3.0,3.0
173,"Big Sleep, The (1946)",73.0,4.027397260273974,1.0134183453885999,1.0,4.0,4.0,5.0,5.0
174,"Big Squeeze, The (1996)",4.0,2.25,0.957427107756338,1.0,1.75,2.5,3.0,3.0
175,Billy Madison (1995),37.0,3.081081081081081,1.1396485417876858,1.0,2.0,3.0,4.0,5.0
176,Bio-Dome (1996),31.0,1.903225806451613,1.106189818240294,1.0,1.0,1.0,3.0,5.0
177,Bird of Prey (1996),1.0,1.0,,1.0,1.0,1.0,1.0,1.0
178,"Birdcage, The (1996)",293.0,3.4436860068259385,1.0342107359122321,1.0,3.0,4.0,4.0,5.0
179,"Birds, The (1963)",162.0,3.8086419753086425,0.8742979481149783,1.0,3.0,4.0,4.0,5.0
180,Bitter Moon (1992),10.0,3.3,1.4181364924121764,1.0,2.25,3.0,4.75,5.0
181,Bitter Sugar (Azucar Amargo) (1996),3.0,4.333333333333333,0.5773502691896258,4.0,4.0,4.0,4.5,5.0
182,Black Beauty (1994),27.0,3.4444444444444446,1.0500305245868349,1.0,3.0,3.0,4.0,5.0
183,Black Sheep (1996),55.0,2.636363636363636,1.2377344351622974,1.0,1.5,3.0,4.0,5.0
184,Blade Runner (1982),275.0,4.138181818181818,0.9056777333039168,1.0,4.0,4.0,5.0,5.0
185,Blink (1994),19.0,3.0,0.7453559924999299,1.0,3.0,3.0,3.0,4.0
186,Bliss (1997),7.0,2.571428571428572,1.1338934190276817,1.0,2.0,2.0,3.5,4.0
187,"Blob, The (1958)",46.0,2.717391304347826,1.0679792648478377,1.0,2.0,3.0,3.75,5.0
188,Blood & Wine (1997),22.0,2.863636363636364,0.9902118361842988,1.0,2.25,3.0,3.75,4.0
189,Blood Beach (1981),6.0,2.1666666666666665,1.4719601443879744,1.0,1.0,1.5,3.5,4.0
190,Blood For Dracula (Andy Warhol's Dracula) (1974),5.0,2.4,1.1401754250991378,1.0,2.0,2.0,3.0,4.0
191,Bloodsport 2 (1995),10.0,1.7,1.0593499054713802,1.0,1.0,1.0,2.0,4.0
192,"Bloody Child, The (1996)",1.0,1.0,,1.0,1.0,1.0,1.0,1.0
193,Blown Away (1994),29.0,2.7586206896551726,0.9507580589716329,1.0,2.0,3.0,3.0,5.0
194,"Blue Angel, The (Blaue Engel, Der) (1930)",18.0,3.7777777777777777,0.6467616667635546,3.0,3.0,4.0,4.0,5.0
195,Blue Chips (1994),9.0,2.6666666666666665,0.7071067811865476,2.0,2.0,3.0,3.0,4.0
196,Blue Sky (1994),12.0,3.4166666666666665,0.7929614610987591,2.0,3.0,3.0,4.0,5.0
197,Blue in the Face (1995),45.0,3.1777777777777776,1.0931374547372783,1.0,2.0,3.0,4.0,5.0
198,Blues Brothers 2000 (1998),28.0,2.821428571428572,1.3622848842368125,1.0,1.75,3.0,4.0,5.0
199,"Blues Brothers, The (1980)",251.0,3.836653386454184,0.9258569843007536,1.0,3.0,4.0,5.0,5.0
200,Bob Roberts (1992),85.0,3.7411764705882353,0.9898646032529452,1.0,3.0,4.0,4.0,5.0
201,Body Parts (1991),13.0,1.6153846153846154,1.0439078454267838,1.0,1.0,1.0,2.0,4.0
202,"Body Snatcher, The (1945)",22.0,3.5,0.8591246929842246,2.0,3.0,4.0,4.0,5.0
203,Body Snatchers (1993),69.0,2.971014492753623,1.2001349739380252,1.0,2.0,3.0,4.0,5.0
204,Bogus (1996),22.0,2.5454545454545454,1.1009637651263606,1.0,2.0,3.0,3.0,5.0
205,"Bonheur, Le (1965)",4.0,2.0,1.1547005383792517,1.0,1.0,2.0,3.0,3.0
206,Bonnie and Clyde (1967),122.0,3.819672131147541,0.9536046744247196,1.0,3.0,4.0,5.0,5.0
207,Boogie Nights (1997),189.0,3.5873015873015874,1.1755703093300365,1.0,3.0,4.0,4.0,5.0
208,Boomerang (1992),32.0,2.8125,0.9651174088696284,1.0,2.0,3.0,3.25,4.0
209,"Boot, Das (1981)",201.0,4.2039800995024885,0.9017671981182216,1.0,4.0,4.0,5.0,5.0
210,Booty Call (1997),48.0,2.1666666666666665,1.0980317658725764,1.0,1.0,2.0,3.0,4.0
211,Bottle Rocket (1996),44.0,3.4545454545454546,1.10925379180331,1.0,3.0,4.0,4.0,5.0
212,Bound (1996),129.0,3.821705426356589,0.9474440320137388,1.0,3.0,4.0,4.0,5.0
213,Boxing Helena (1993),15.0,2.2,1.3201731488169055,1.0,1.0,2.0,3.0,5.0
214,Boy's Life 2 (1997),6.0,3.333333333333333,1.6329931618554518,1.0,2.25,3.5,4.75,5.0
215,Boys (1996),6.0,3.333333333333333,1.2110601416389968,1.0,3.25,4.0,4.0,4.0
216,Boys Life (1995),5.0,3.2,1.3038404810405295,1.0,3.0,4.0,4.0,4.0
217,Boys in Venice (1996),2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
218,"Boys of St. Vincent, The (1993)",13.0,3.3846153846153846,1.3867504905630728,1.0,3.0,4.0,4.0,5.0
219,Boys on the Side (1995),34.0,3.147058823529412,1.1581686939766869,1.0,2.25,3.0,4.0,5.0
220,"Boys, Les (1997)",3.0,3.333333333333333,2.081665999466133,1.0,2.5,4.0,4.5,5.0
221,"Brady Bunch Movie, The (1995)",76.0,2.8026315789473686,1.1316034269077988,1.0,2.0,3.0,3.25,5.0
222,Braindead (1992),14.0,3.8571428571428568,1.6104057232283404,1.0,4.0,4.5,5.0,5.0
223,Bram Stoker's Dracula (1992),120.0,3.158333333333333,1.0768443887280166,1.0,2.0,3.0,4.0,5.0
224,Brassed Off (1996),32.0,3.9375,0.9482581654734624,1.0,3.75,4.0,5.0,5.0
225,Braveheart (1995),297.0,4.151515151515151,0.9624395702016444,1.0,4.0,4.0,5.0,5.0
226,Brazil (1985),208.0,3.817307692307693,1.1056676394932907,1.0,3.0,4.0,5.0,5.0
227,Bread and Chocolate (Pane e cioccolata) (1973),12.0,3.1666666666666665,1.4034589305344742,1.0,2.0,3.5,4.0,5.0
228,Breakdown (1997),77.0,3.4025974025974026,1.0034118147566158,1.0,3.0,3.0,4.0,5.0
229,Breakfast at Tiffany's (1961),95.0,3.726315789473684,1.0359711782645542,1.0,3.0,4.0,4.0,5.0
230,Breaking the Waves (1996),74.0,3.72972972972973,1.1140115994735285,1.0,3.0,4.0,4.75,5.0
231,Bride of Frankenstein (1935),46.0,3.608695652173913,1.043035332725603,1.0,3.0,3.0,4.75,5.0
232,"Bridge on the River Kwai, The (1957)",165.0,4.175757575757577,0.8333850686084164,1.0,4.0,4.0,5.0,5.0
233,"Bridges of Madison County, The (1995)",67.0,3.164179104477612,1.2979822911124836,1.0,2.0,3.0,4.0,5.0
234,Bringing Up Baby (1938),68.0,3.8382352941176467,0.9713860556871784,2.0,3.0,4.0,5.0,5.0
235,Broken Arrow (1996),254.0,3.0314960629921264,1.0054162245405738,1.0,2.0,3.0,4.0,5.0
236,Broken English (1996),8.0,2.25,1.035098339013531,1.0,1.75,2.0,3.0,4.0
237,"Bronx Tale, A (1993)",48.0,3.7916666666666665,0.7978250577006439,2.0,3.0,4.0,4.0,5.0
238,Brother Minister: The Assassination of Malcolm X (1994),5.0,3.0,1.4142135623730951,1.0,2.0,4.0,4.0,4.0
239,"Brother's Kiss, A (1997)",1.0,2.0,,2.0,2.0,2.0,2.0,2.0
240,"Brothers McMullen, The (1995)",73.0,3.4520547945205484,0.8981631856555751,1.0,3.0,3.0,4.0,5.0
241,Brothers in Trouble (1995),1.0,4.0,,4.0,4.0,4.0,4.0,4.0
242,"Browning Version, The (1994)",10.0,3.0,1.1547005383792517,1.0,2.0,3.5,4.0,4.0
243,Buddy (1997),4.0,2.25,0.5,2.0,2.0,2.0,2.25,3.0
244,Bulletproof (1996),49.0,3.204081632653061,1.1361409800419195,1.0,2.0,3.0,4.0,5.0
245,Bullets Over Broadway (1994),86.0,3.72093023255814,0.915888033109336,1.0,3.0,4.0,4.0,5.0
246,Burnt By the Sun (1994),24.0,3.7083333333333335,1.3014763077790332,1.0,3.0,4.0,5.0,5.0
247,Burnt Offerings (1976),9.0,2.4444444444444446,1.130388330520878,1.0,2.0,2.0,3.0,4.0
248,Bushwhacked (1995),7.0,1.5714285714285714,0.7867957924694431,1.0,1.0,1.0,2.0,3.0
249,Butch Cassidy and the Sundance Kid (1969),216.0,3.9490740740740735,0.8584459046624294,1.0,3.0,4.0,5.0,5.0
250,"Butcher Boy, The (1998)",2.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0
251,Butterfly Kiss (1995),1.0,1.0,,1.0,1.0,1.0,1.0,1.0
252,"Bye Bye, Love (1995)",15.0,3.1333333333333333,1.0600988273786194,1.0,2.5,3.0,4.0,5.0
253,C'est arrivé près de chez vous (1992),4.0,3.0,1.8257418583505536,1.0,1.75,3.0,4.25,5.0
254,Cabin Boy (1994),16.0,2.5625,1.3149778198382918,1.0,1.75,2.5,3.0,5.0
255,"Cable Guy, The (1996)",106.0,2.339622641509434,1.1117278911061972,1.0,1.0,2.0,3.0,5.0
256,Calendar Girl (1993),3.0,2.0,1.0,1.0,1.5,2.0,2.5,3.0
257,Canadian Bacon (1994),29.0,2.413793103448276,1.0527936095153942,1.0,1.0,3.0,3.0,4.0
258,"Candidate, The (1972)",39.0,3.641025641025641,0.6683514473837646,2.0,3.0,4.0,4.0,5.0
259,Candyman (1992),65.0,2.7230769230769236,1.2184479408720692,1.0,2.0,3.0,3.0,5.0
